,sentence,Afrikaans,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Die oorlogskreet vir geregtigheid was verby - baie tot die chagrin van die owerhede. ,The war cry for justice was over - many to the Chagrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Die regime se besluit adumbreer die onderliggende agenda. ,The regime's decision Adumbrate the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Die gemeenskap was angstig oor die verloop van die broodnodige hervormings. ,The community was anxious about the course of much needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Die denktenk het 'n papier gepubliseer waarin hul verskoning van die doodstraf uiteengesit het. ,The think tank published a paper in which their excuse of the death penalty. 
4,Aught was left of the petition's validity,Aught was van die petisie se geldigheid ,Aught was of the petition's validity 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Die president het sy ministers vermaan om op te staan as sleutel opposisie ondersteuning vir sy ekonomiese plan is op die punt om te buig. ,The president admonished his ministers to stand up as key opposition support for his economic plan is about to bend. 
6,The voters were chuffed to see the bill passed.,Die kiesers was chuffed om te sien dat die wetsontwerp geslaag het. ,The voters were chuffed to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Die prokureur se diskursiewe vertelling het die jurie geswaai. ,The lawyer's discursive narrative swung the jury. 
8,The court enjoined the violence!,Die hof het die geweld aangebring! ,The court made the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Die EU-blok het 'n uiteindelike oplegging van anti-dumping maatreëls gekant. ,The EU block opposed an ultimate imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,'N Vulige eulogie is deur die Sly-raad gelewer. ,A Fully Eulogy was delivered by the Sly Board. 
11,The gig-economy agency decided to garnish the refunds!,Die gig-ekonomie-agentskap het besluit om die terugbetalings te versier! ,The Gig economy agency decided to decorate the repayments! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Lede van die anti-teokratiese revolusionêre beweging het die eweknieë in krag omvergewerp! ,Members of the anti-theocratic revolutionary movement overthrown the peers! 
13,The traitors disappointingly decided to fight with the colonialists.,Die verraaiers het teleurstellend besluit om met die kolonialiste te veg. ,The traitors decided disappointingly to fight with the colonialists. 
