,sentence,Azerbaijani,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ədalət üçün müharibə ağlaması hər şeydən çox idi - hakimiyyətin Chagrin-də. ,The war of war for justice was more than anything - in Chagrin of the government. 
1,The regime's decision adumbrates the underlying agenda.,Rejimin qərarı əsas gündəmdən əziyyət çəkir. ,The regime's decision is suffering from the main agenda. 
2,The community was anxious over the passing of the much needed reforms.,İcma çox lazımlı islahatların keçməsi üçün narahat idi. ,The community was worried to pass very useful reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Düşüncə tankı, kapital cəzasının üzrlərini izah edən bir kağız dərc etdi. ",Thinking tank published a paper that describes the apology for capital penalty. 
4,Aught was left of the petition's validity,Aerikmənin etibarlılığından qaldı ,Remained from aericular reliability 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Prezident nazirlərinin iqtisadi planına əsas müxalifət dəstəyi üçün bu tokaya məruz qaldıqca toqquşdu. ,The economic plan of the presidential ministers collided as this bonded for the main opposition support. 
6,The voters were chuffed to see the bill passed.,Seçicilər qanun layihəsinin keçdiyini görmək üçün çırpıldı. ,The voters were fluttered to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Vəkilin diskursiv rəvayət münsiflər heyətini yellədi. ,The lawyer's discursive narration waved the jury. 
8,he court enjoined the violence!,"O, məhkəmə zorakılığı oyatdı! ",He woke up for judicial violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,"AB-nin bloku, zərərçəkmə əleyhinə tədbirlərin nəticəsi tətbiqinə qarşı çıxdı. ",The EU block opposed the implementation of the result of anti-victim measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulseyse eulogiyası hiyləgər məsləhətçi tərəfindən təslim edildi. ,Fulseyse Eulogia was delivered by a cunning consultant. 
11,The gig-economy agency decided to garnish the refunds!,Gig-iqtisadiyyat agentliyi geri qaytarmalarını qarnit etmək qərarına gəldi! ,Gig-Economic Agency decided to get their refunds of garnets! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Anti-teokratik inqilabi hərəkat üzvləri həmyaşıdları gücdə devirdilər! ,Members of the Anti-Theocratic Revolutionary Movement overthrew peers in force! 
13,The traitors disappointingly decided to fight with the colonialists.,"Xainlər məyus olaraq, müstəmləkəçilərlə döyüşmək qərarına gəldilər. ","Threshets are disappointed, they decided to fight with colonizers. "
