,sentence,Belarusian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,"Вайна крык справядлівасці ўсё было - шмат да таго, хто прытрымлівацца ўладаў. ",War Creek justice everything was - a lot to someone who follow the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Рашэнне рэжыму Adumbrates асноўнай парадку дня. ,Adumbrates regime is the main agenda. 
2,The community was anxious over the passing of the much needed reforms.,Супольнасць была занепакоеная па праходжанні вельмі неабходных рэформаў. ,Community was concerned about the passage of very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Травень бак апублікаваў артыкул з выкладаннем іх прабачэнні смяротнага пакарання. ,May tank has published an article with the outlining of their apology to death. 
4,Aught was left of the petition's validity,Aught быў пакінуты ад рэчаіснасці петыцыі ,Aught was left from reality petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Прэзідэнт ўмаўляў свае міністры спражкі ўверх у якасці ключавой апазіцыі падтрымкі яго эканамічнага плана быў аб тым, каб спражка. ",The President has drawn his ministers buckle upward as a key opposition to support his economic plan was about to buckle. 
6,The voters were chuffed to see the bill passed.,"Выбаршчыкі былі чоук, каб убачыць законапраект прайшоў. ",Voters were Chowk to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Дыскурсіўная аповяд адваката пахіснуў журы. ,Discovery tale lawyer shaken jury. 
8,The court enjoined the violence!,Суд прадугледжваў гвалт! ,The court involved violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Блок ЕС выступае супраць магчымага ўвядзення антыдэмпінгавых мер. ,EU block stands against a possible introduction of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Любалогія палюмах быў дастаўлены Syly адвакатам. ,Lyubology Syly Syly was delivered by lawyer. 
11,The gig-economy agency decided to garnish the refunds!,Агенцтва Гіга-Эканоміка вырашыла гарнірам зваротаў! ,Agency Giga-Economics has decided to garnish appeals! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Члены анты-theAcratic рэвалюцыйнага руху зрынулі калегаў ва ўладзе! ,Members Anti-TheaCratic revolutionary movement overthrew colleagues in power! 
13,The traitors disappointingly decided to fight with the colonialists.,The Breators downeringly вырашылі змагацца з каланізатарамі. ,The Breators Downeringly decided to fight colonizers. 
