,sentence,Bulgarian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Военният вик за справедливост беше навсякъде - много за огорчането на властите. ,The military shout of justice was everywhere - much for the bitterness of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Решението на режима адумбатира основния дневен ред. ,The decision of the regime adumbates the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Общността беше нетърпелива за преминаването на много необходимите реформи. ,The Community was impatient for the transition of many necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Think Tank публикува документ, очертаващ тяхното извинение на смъртното наказание. ",Think Tank published a document outlining their excuse to the death penalty. 
4,Aught was left of the petition's validity,Овес беше оставен от валидността на петицията ,Oats was left of the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Президентът увещаваше министрите си да се измъкнат, докато ключовата опозиционна подкрепа за неговия икономически план беше да се закотжа. ","The president exhorted his ministers to escape, while the key opposition support for his economic plan was to be anchored. "
6,The voters were chuffed to see the bill passed.,"Избирателите бяха разкъсани, за да видят сметката. ",Voters were torn to see the account. 
7,The lawyer's discursive narration swayed the jury.,Дискурсивният разказ на адвоката поклаща журито. ,The discursive narrative of the lawyer shook the jury. 
8,he court enjoined the violence!,Той съдитира насилието! ,He judges violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Блокът на ЕС се противопостави на евентуално налагане на антидъмпингови мерки. ,The EU block opposes the possible imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Беше доставена функълска евлост. ,Function Jobs were delivered. 
11,The gig-economy agency decided to garnish the refunds!,Агенцията за икономиката на GIG реши да украси възстановяванията! ,The GIG economy agency decided to decorate the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Членовете на антиасочетното революционно движение свалиха връстниците в сила! ,Members of the anti-academic revolutionary movement removed peers into force! 
13,The traitors disappointingly decided to fight with the colonialists.,Предателите разочароващо решават да се борят с колонистите. ,Traitors disappointingly decide to fight the colonists. 
