,sentence,Bengali,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,বিচারের জন্য যুদ্ধের কান্না সবই ছিল - কর্তৃপক্ষের Chagrin অনেক। ,There was all the tears of war for trial - the author of the authority is a lot of Chagrin. 
1,The regime's decision adumbrates the underlying agenda.,শাসনের সিদ্ধান্ত অন্তর্নিহিত এজেন্ডা adumbrates। ,Decision of rule adumbrates the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,সম্প্রদায়ের প্রয়োজনীয় সংস্কারের ক্ষণস্থায়ী সম্প্রদায়ের উপর উদ্বেগ ছিল। ,The community had concern over the passing community of the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"মনে হচ্ছে ট্যাঙ্কটি একটি কাগজ প্রকাশ করেছে, তাদের মৃত্যুদণ্ডের ক্ষমাপ্রার্থী। ","It seems that the tank has published a paper, apologies to their execution. "
4,Aught was left of the petition's validity,পিটিশন এর বৈধতা বাকি ছিল ,Petition's validation was left 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,রাষ্ট্রপতি তার মন্ত্রীদেরকে তার অর্থনৈতিক পরিকল্পনার জন্য মূল বিরোধী সমর্থনের জন্য ফিতে যাওয়ার জন্য ডুবে যাওয়ার জন্য ডেকেছিলেন। ,The President called for his ministers to drown to go to the strip for its economic plans for the main opposition support. 
6,The voters were chuffed to see the bill passed.,বিল পাস করার জন্য ভোটারদের চাফ করা হয়েছে। ,Voters have been squeezed to pass the bill. 
7,The lawyer's discursive narration swayed the jury.,আইনজীবী এর discursive narration জুরি swayed। ,The lawyer's discursive narration jury swayed. 
8,The court enjoined the violence!,আদালত হিংস্রতা নির্দেশ করে! ,The court indicates violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ইইউ ব্লক এন্টি-ডাম্পিংয়ের একটি কার্যকরী পদক্ষেপের বিরোধিতা করেছিল। ,EU block opposed an effective step of anti-dumping. 
10,A fulsome eulogy was delivered by the sly counsel.,একটি fulsome eulogy sly পরামর্শ দ্বারা বিতরণ করা হয়। ,A fulsome eulogy is delivered by suggesting sly. 
11,The gig-economy agency decided to garnish the refunds!,গিগা-অর্থনীতি সংস্থা ফেরত ফেরত দেওয়ার সিদ্ধান্ত নিয়েছে! ,Giga-economics agency decided to return! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,বিরোধী-বিরোধী বিপ্লবী আন্দোলনের সদস্যরা ক্ষমতায় সহকর্মীদের পরাজিত করে! ,The members of the anti-revolutionary movement defeated the colleagues in power! 
13,The traitors disappointingly decided to fight with the colonialists.,বিশ্বাসঘাতকরা হতাশাজনকভাবে ঔপনিবেশিকদের সাথে যুদ্ধ করার সিদ্ধান্ত নিয়েছে। ,The traitors decided to fight with frustrating colonists. 
