,sentence,Bosnian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ratni krik za pravdu bio je u cijeloj tome - mnogo toga za Chagrin od vlasti. ,The war cry for justice was throughout - much for Chagrin from the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Odluka režima aktivira temeljnu agendu. ,The decision of the regime activates the fundamental agenda. 
2,The community was anxious over the passing of the much needed reforms.,Zajednica je bila zabrinuta zbog donošenja prijekolih potrebnih reformi. ,The community was worried about the adoption of the undercuted reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Think tank objavio je rad koji je iznio njihovo izvinjenje smrtne kazne. ,Think Tank has published a paper that made their apologies to the death penalty. 
4,Aught was left of the petition's validity,Ostalo je od peticije valjanosti ,The rest is of the feta 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Predsjednik je osvrnuo svoje ministre da se zakopčava kao ključna podrška opozicije za njegov ekonomski plan. ,The president referred his ministers to bury himself as key support for his opposition for his economic plan. 
6,The voters were chuffed to see the bill passed.,Birači su bili grupi da vide račun koji je prošao. ,The voters were a group to see the account that passed. 
7,The lawyer's discursive narration swayed the jury.,Advokat diskurzivna pripovijedanja povukla je žiri. ,The lawyer discursive storytelling withdrew the jury. 
8,he court enjoined the violence!,Sud je uživao nasilje! ,The court enjoyed violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blok EU suprotstavlja se eventualnom nametu mjera za protuvrijednost. ,The EU block opposes possible impurities for the equivalent measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome eulogy je dostavio luk. ,FulSome Eulogy has submitted a bow. 
11,The gig-economy agency decided to garnish the refunds!,Agencija za gospodarske gospodarske ekonomije odlučila je ukinuti povrat novca! ,The economic economic economy agency decided to abolish the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Pripadnici antiteokratskog revolucionarnog pokreta su vršili vršnjake na vlasti! ,Members of the antiply revolutionary movement performed peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Izdajnici razočarano odlučili su se boriti sa kolonijalistima. ,Traitors disappointed decided to fight the colonialists. 
