,sentence,Czech,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Válka plakat pro spravedlnost byla všude příliš pro Chagrinu orgánů. ,War cry for justice was too much for chagrin organs. 
1,The regime's decision adumbrates the underlying agenda.,Rozhodnutí režimu adumbrates podkladové agendy. ,ADUMBRATES decisions of the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Společenství bylo znepokojeno nad procházením mnohem potřebných reformy. ,The Community was concerned about browsing much needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Think tank zveřejnila papír nastíněný jejich omluvu trestu smrti. ,The Think Tank published paper outlines their apology death penalty. 
4,Aught was left of the petition's validity,Aught zůstala platnost petice ,AUGHT remained valid petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Prezident posuzoval své ministry, aby se postavili jako klíčová podpora opozice pro jeho hospodářský plán, se chystá přezka. ","The President judged his ministers to stand as a key support for the opposition for his economic plan, there is a buckle. "
6,The voters were chuffed to see the bill passed.,"Voliči byli chuffed vidět, že účet uplynulo. ",The voters were chuffed to see that the account has passed. 
7,The lawyer's discursive narration swayed the jury.,Diskurvační vyprávění advokáta se rozplynul porota. ,The advanced lawyer's discourage narrative. 
8,The court enjoined the violence!,Soud se stalo násilím! ,The court became violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blok EU proti případnému uložení antidumpingových opatření. ,EU block against possible imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulzome Eulogy byl dodán SLY poradce. ,Fulzome eLogy was supplied by SLY Advisor. 
11,The gig-economy agency decided to garnish the refunds!,Gig-ekonomická agentura se rozhodla ozdobit náhradu! ,GIG-Economic Agency decided to decorate the replacement! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Členové anti teokratického revolučního hnutí svrhly vrstevníky v moci! ,Members of the Anti Theocratic Revolutionary Movement Hovered peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Zrádci se neuskutečnili bojovat s kolonialisty. ,The traitors did not take place to fight colonialists. 
