,sentence,Welsh,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Roedd y crio rhyfel dros gyfiawnder i gyd drosodd i giarin yr awdurdodau. ,War crying for justice was all over to authorize the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Mae penderfyniad y gyfundrefn yn ad-drefnu'r agenda sylfaenol. ,The regime decision reorganizes the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Roedd y gymuned yn bryderus ynghylch pasio'r diwygiadau sydd eu hangen yn fawr. ,The community was concerned about passing the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Cyhoeddodd y Tank Think bapur yn amlinellu eu ymddiheuriad o gosb cyfalaf. ,The Tank Think published a paper outlining their apology from a capital penalty. 
4,Aught was left of the petition's validity,Gadawyd i ddilysrwydd ddilysrwydd y ddeiseb ,The validity of the validity of the petition was left 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Roedd y Llywydd yn annog ei weinidogion i fwclu fel cefnogaeth yr wrthblaid allweddol ar gyfer ei gynllun economaidd ar fin bwcl. ,The Presiding Officer urged his Ministers to buckle as the key opposition support for his economic plan on BWLB. 
6,The voters were chuffed to see the bill passed.,Cafodd y pleidleiswyr eu bwydo i weld y bil yn cael ei basio. ,The voters were fed to see the bill being passed. 
7,The lawyer's discursive narration swayed the jury.,Fe wnaeth naratif dadleuol y cyfreithiwr droi'r rheithgor. ,The lawyer's controversial narrative turned the jury. 
8,The court enjoined the violence!,Roedd y llys wedi ymrwymo i'r trais! ,The court was committed to the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Roedd y bloc UE yn gwrthwynebu gosod mesurau gwrth-ddympio yn y pen draw. ,The EU block objected to the ultimate installation of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Cyflwynwyd y cwnsler slity. ,Counsel Slity was presented. 
11,The gig-economy agency decided to garnish the refunds!,Penderfynodd yr Asiantaeth Gig-Economi i addurno'r ad-daliadau! ,The NHS-Economy Agency decided to decorate the repayments! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Fe wnaeth aelodau o'r mudiad chwyldroadol gwrth-theocratic ddinistrio'r cyfoedion mewn grym! ,Members of the anti-theocratic revolutionary movement destroyed the peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Penderfynodd yr hyfforddwyr yn siomedig i ymladd gyda'r gwladychwyr. ,The trainers decided disappointed to fight with the colonists. 
