,sentence,Danish,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Krigskriget for retfærdighed var helt over - meget til myndighedens chagrin. ,The cry of justice was completely above - much to the authority's chagrin. 
1,The regime's decision adumbrates the underlying agenda.,Regimets beslutning adumbrater den underliggende dagsorden. ,The regime's decision Adumbrates the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Fællesskabet var ivrig over overførslen af de meget nødvendige reformer. ,The Community was eager about the transfer of the very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Tænkbeholderen offentliggjorde et papir, der beskriver deres undskyldning for dødsstraf. ",The think tank published a paper describing their apology for the death penalty. 
4,Aught was left of the petition's validity,Aught blev efterladt af andragendets gyldighed ,Aught was left by the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Præsidenten formandede sine ministre til at spænde op som nøglepositionsstøtte til sin økonomiske plan var ved at spænde. ,The President President its ministers to buckle up as key position support for its economic level was by buckle. 
6,The voters were chuffed to see the bill passed.,Vælgerne blev chuffed for at se regningen bestået. ,The voters were chuffed to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Advokatens diskursive fortælling svajede juryen. ,The lawyer's discursive tale swayed the jury. 
8,he court enjoined the violence!,He domstol enjoined volden! ,HE court enjoined violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU-blokken modsatte sig en eventuel indførelse af antidumpingforanstaltninger. ,The EU block opposes any imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,En Fulsome Eulogy blev leveret af Sly Counsel. ,A fully eulogy was supplied by Sly Counsel. 
11,The gig-economy agency decided to garnish the refunds!,Gig-Economy Agency besluttede at garnere restitutionerne! ,Gig-Economy Agency decided to garnish the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Medlemmer af den anti-denokratiske revolutionære bevægelse væltede jævnaldrende i magten! ,Members of the anti-denocratic revolutionary movement overthrow peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Forræderne besluttede sig skuffende at kæmpe med kolonialisterne. ,The traitors decided disappointing to fight with the colonialists. 
