,sentence,German,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Der Kriegsschrei für Gerechtigkeit war überall auf dem Chagrin der Behörden. ,The cry of war for justice was everywhere on the chagrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Die Entscheidung des Regimes adumbriert die zugrunde liegende Agenda. ,The decision of the regime adverters the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Die Gemeinde war besorgt über die dringend benötigten Reformen. ,The community was worried about the urgently needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Der Think Tank veröffentlichte ein Papier, das ihre Entschuldigung der Kapitalbestrafung umrankt. ",The Think Tank published a paper that interverted her excuse the capital impact. 
4,Aught was left of the petition's validity,Aught wurde von der Gültigkeit der Petition hinterlassen ,Aught was left by the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Der Präsident ermahnte seine Minister, sich zu knicken, als der key-Oppositionsunterstützung für seinen wirtschaftlichen Plan kurzzusagen wollte. ",The President admonished his ministers to bend himself as the key opposition support for his economic plan wanted to commit. 
6,The voters were chuffed to see the bill passed.,"Die Wähler wurden geschraubt, um die Höhe des Griffs zu sehen. ",The voters were screwed to see the height of the handle. 
7,The lawyer's discursive narration swayed the jury.,Die diskursive Erzählung des Anwalts schwankte die Jury. ,The discursive narrative of the lawyer swayed the jury. 
8,he court enjoined the violence!,Das Gericht hat der Gewalt eingedrungen! ,The court has penetrated violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Der EU-Block widersetzte sich gegen eine ewige Auferlegung von Antidumpingmaßnahmen. ,The EU block resisted an eternal imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Eine fulstaue Eulogie wurde vom schlauen Rathaus geliefert. ,A FULSTAUE Eulogie was delivered by the smart town hall. 
11,The gig-economy agency decided to garnish the refunds!,"Die Gig-Economy-Agentur beschloss, die Erstattungen zu garnieren! ",The Gig Economy Agency decided to garnish the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Mitglieder der anti-theokratischen revolutionären Bewegung stürzten die Kollegen in der Macht! ,Members of anti-theocratic revolutionary movement crashed colleagues in power! 
13,The traitors disappointingly decided to fight with the colonialists.,"Die Verräter entschieden enttäuschend, mit den Kolonialisten zu kämpfen. ",The traitors decided disappointing to fight with the colonialists. 
