,sentence,Greek,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ο πολέμου Cry for Justice ήταν παντού - πολύ για το chagrin των αρχών. ,The Cry For Justice War was everywhere - much for the Chagrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Η απόφαση του καθεστώτος επιβάλλει την υποκείμενη ημερήσια διάταξη. ,The decision of the scheme imposes the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Η κοινότητα ήταν ανήσυχη για τη διέλευση των πολύ αναγκαίων μεταρρυθμίσεων. ,The Community was anxious to pass the very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Η δεξαμενή σκέψης δημοσίευσε ένα έγγραφο που περιγράφει τη συγγνώμη της τιμωρίας των κεφαλαίων. ,The thinking tank published a document that describes the apology of capital punishment. 
4,Aught was left of the petition's validity,Ο Aught έμεινε από την εγκυρότητα της αναφοράς ,Aught stayed from the validity of the reference 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Ο Πρόεδρος προέβλεψε τους υπουργούς του να λυγίσει ως βασική υποστήριξη της αντιπολίτευσης για το οικονομικό του σχέδιο ήταν έτοιμος να λυγίσει. ,The President predicted his ministers to bend as the basic support of the opposition for his financial plan was ready to bend. 
6,The voters were chuffed to see the bill passed.,Οι ψηφοφόροι ήταν χρωμένοι για να δει το νομοσχέδιο πέρασε. ,Voters were painted to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Η μεταβλητική αφήγηση του δικηγόρου κούνησε την κριτική επιτροπή. ,The Variable Narrative of the Lawyer shook the jury. 
8,he court enjoined the violence!,Το δικαστήριο έγραψε τη βία! ,The court wrote violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Το μπλοκ της ΕΕ αντιτάχθηκε σε ενδεχόμενη επιβολή μέτρων αντιντάμπινγκ. ,The EU block opposed the possible imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Ένα Fulersome Eulogy παραδόθηκε από τον πονηρό συμβούλους. ,A Fulersome Eulogy was delivered by the wicked consultants. 
11,The gig-economy agency decided to garnish the refunds!,Ο Οργανισμός Gig-Economy αποφάσισε να γαρνίρει τις επιστροφές! ,The GIG-Economy Organization has decided to garnish the returns! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Τα μέλη του αντι-θεοκρατικές επαναστατικές μετακινήσεις ανέτρεψαν τους συνομηλίκους στην εξουσία! ,Members of anti-theocratic revolutionary travel overturned peers to power! 
13,The traitors disappointingly decided to fight with the colonialists.,Οι προδότες απογοητεύτηκαν να πολεμήσουν με τους αποικιοκρατία. ,Traitors were disappointed to fight with colonialism. 
