,sentence,Esperanto,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,La milito krio por justeco estis ĉie - multe al la ĉagreno de la aŭtoritatoj. ,The war cry for justice was everywhere - much to the misfortune of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,La decido de la reĝimo admonas la suban agendon. ,The decision of the regime requires the below agenda. 
2,The community was anxious over the passing of the much needed reforms.,La komunumo zorgis pri la forpaso de la tre bezonataj reformoj. ,The community was concerned about the death of the very required reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,La Think-tanko publikigis paperon skizante sian pardonpeton de mortpuno. ,The Think tank released a paper outlining his apology from death penalty. 
4,Aught was left of the petition's validity,Makulo restis de la valideco de la peto ,Spot remained from the validity of the request 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,La prezidanto admonis siajn ministrojn por forigi kiel ŝlosila opozicia subteno por sia ekonomia plano estis ronde bukli. ,The president exhorted his ministers to eliminate as key competing support for his economic plan was about to bukli. 
6,The voters were chuffed to see the bill passed.,La balotantoj estis ŝvelintaj por vidi la fakturon. ,The voters were swollen to see the bill. 
7,The lawyer's discursive narration swayed the jury.,La diskursiva rakonto de la advokato balancis la ĵurio. ,The lawyer's discoursive story balanced the jury. 
8,The court enjoined the violence!,La tribunalo ordonis la perforton! ,The court ordered the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,La EU-bloko kontraŭis eventualan altrudon de kontraŭ-dumpingaj mezuroj. ,The EU block has opposed to a possible imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulmanulo estis liverita de la ruza konsilo. ,Lightning man was delivered by the Rush Council. 
11,The gig-economy agency decided to garnish the refunds!,La gig-ekonomia agentejo decidis ornami la repagon! ,The Gig Economic Agency decided to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Membroj de la kontraŭ-teokratia revolucia movado renversis la kunulojn en potenco! ,Members of the anti-theocracy revolutionary movement overthrew the companions in power! 
13,The traitors disappointingly decided to fight with the colonialists.,La perfiduloj malkontente decidis batali kun la koloniistoj. ,The traitors displeasedly decided to fight with the colonists. 
