,sentence,Spanish,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,El grito de la guerra por la justicia fue muy por encima de la disgusto de las autoridades. ,The cry of war for justice was well above the disgust of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,La decisión del régimen abordó la agenda subyacente. ,The decision of the regime addressed the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,La comunidad estaba ansiosa por el paso de las reformas muy necesarias. ,The community was anxious by the passage of the very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,El Think Tank publicó un artículo que describe sus disculpas de la pena capital. ,The Think Tank published an article that describes its apologies for capital punishment. 
4,Aught was left of the petition's validity,Quedó a dejar la validez de la petición. ,It remained to leave the validity of the petition. 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"El presidente exhortó a sus ministros a abrocharse, ya que el apoyo clave de la oposición para su plan económico estaba a punto de hebillarse. ","The President exhorted his ministers to be fastened, since the key support of the opposition for his economic plan was about to be heated. "
6,The voters were chuffed to see the bill passed.,Los votantes fueron arañados para ver que pasó la factura. ,The voters were scratched to see that the invoice passed. 
7,The lawyer's discursive narration swayed the jury.,La narración discursiva del abogado se balanceó el jurado. ,The discursive narration of the lawyer swung the jury. 
8,The court enjoined the violence!,¡El tribunal le ordenó la violencia! ,The court ordered violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,El bloque de la UE se opuso a una eventual imposición de medidas antidumping. ,The EU block opposed an eventual imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Un fulgento EULOGY fue entregado por el asesor sly. ,A Fulgento Eulogy was delivered by the Sly Advisor. 
11,The gig-economy agency decided to garnish the refunds!,¡La Agencia de GIG-Económica decidió adornar los reembolsos! ,The Gig-economic agency decided to decorate reimbursements! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,¡Los miembros del movimiento revolucionario anti-teocrático derrocaron a los compañeros en poder! ,Members of the anti-theocratic revolutionary movement overthrew colleagues in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Los traidores decidieron decepcionantemente luchar con los colonialistas. ,The traitors decided disappointingly to fight with colonialists. 
