,sentence,Estonian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Justi õiguse sõja nutmine oli üle - palju ametiasutuste chegriini. ,Crying of Justice War was over - a lot of authorities to Chegrin. 
1,The regime's decision adumbrates the underlying agenda.,Režiimi otsus Adlubrates Alusperioodi päevakorra. ,Regime decision on adlubrates agenda. 
2,The community was anxious over the passing of the much needed reforms.,Ühendus oli mures paljude vajalike reformide möödumisel. ,The Community was concerned about the reforms of many necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Mõttepaak avaldas paberi, milles kirjeldati nende kapitali karistuse vabandust. ",The point of thinking was published by the paper describing the sorry for their capital punishment. 
4,Aught was left of the petition's validity,Aught jäi petitsiooni kehtivust ,Aught remained the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,President tutvustas oma ministreid oma majanduslikule kava peamisele opositsiooni toetuseks lukuks. ,The President introduced his ministers to be locked in support of their economic plan to the main opposition. 
6,The voters were chuffed to see the bill passed.,"Valijad kukkusid, et näha arve möödas. ",The voters fell to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Advokaadi diskursiivne jutustus lõi žürii. ,A lawyer's discursive narrative created a jury. 
8,The court enjoined the violence!,Euroopa Kohus enjoned vägivalla! ,The Court enjone violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ELi plokk oli vastu dumpinguvastaste meetmete võimaliku määramise. ,The EU block was opposed to the possible imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome eulogy tarniti SLY kaitsja poolt. ,Fullsome Eulogy was delivered by Sly Defender. 
11,The gig-economy agency decided to garnish the refunds!,Gig-majanduse agentuur otsustas toetada tagasimakseid! ,The GIG Economic Agency decided to support refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Teokraatliku revolutsioonilise liikumise vastase võitluse liikmed kannavad eakaaslased võimu! ,Members of the fight against the anocratic revolutionary movement bear the power of peers! 
13,The traitors disappointingly decided to fight with the colonialists.,Traiturid otsustas pettunud koloonialaste vastu võitlemiseks. ,Traiters decided to combat the disappointed colonians. 
