,sentence,Basque,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,"Gerra Justiziarentzako oihu egin zen, agintarien katagrinarekiko askoz ere. ","The war shouted for justice, much to the catagrin of the authorities. "
1,The regime's decision adumbrates the underlying agenda.,Erregimenaren erabakiak azpiko agenda adumbratzen du. ,The decision of the regime adumbends the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Erkidegoa aski behar den erreformak igarotzen zen. ,The Community passed the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Think Tank-ek paperezko zigorraren barkamena erakusten duen papera argitaratu zuen. ,Think Tank published a paper that shows the pardon of paper penalty. 
4,Aught was left of the petition's validity,Aught eskaeraren baliozkotasuna utzi zen ,The validity of the AUGHT request was left 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Presidenteak bere ministroak erori zituen bere plan ekonomikoaren aurkako funtsezko laguntza izan zen bezala. ,The president fell as a key support against his economic plan. 
6,The voters were chuffed to see the bill passed.,Hautesleak faktura pasatu zen ikusteko. ,The voter passed the bill to see. 
7,The lawyer's discursive narration swayed the jury.,Abokatuaren narrazio diskurtsiboak epaimahaiak eragin zuen. ,The lawyer's discursive narrative affected the jury. 
8,The court enjoined the violence!,Auzitegiak indarkeria piztu zuen! ,The court turned on violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EBko blokeak isurketen aurkako neurrien inposaketaren aurka egin zuen. ,The EU block made against imposition of anti-discharge measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Eulogia fulsome bat inkestak eman zuen. ,He gave an eulogy Fulsome survey. 
11,The gig-economy agency decided to garnish the refunds!,GIG-Ekonomia Agentziak itzulketak garatatzea erabaki zuen! ,GIG-Economic Agency decided to develop refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Mugimendu iraultzailearen aurkako herrietako kideek beren kideak boterean bota zituzten! ,Members of the villagers against the revolutionary movement were thrown in power by their members! 
13,The traitors disappointingly decided to fight with the colonialists.,Kolonialistekin borrokatzea erabaki zuten traidoreak. ,The traitor decided to fight with colonialists. 
