,sentence,Persian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,جنگ جنگی برای عدالت تمام شد - خیلی به فقر مقامات. ,The war war for justice ended - so much to the poverty of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,تصمیم رژیم، دستور کار اساسی را مطرح می کند. ,The regime's decision poses a basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,جامعه بیش از گذر از اصلاحات بسیار مورد نیاز مضطرب بود. ,The community was more anxious than passing through the very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,تانک فکر یک مقاله را منتشر کرد که عذرخواهی خود را از مجازات اعدام اعلام کرد. ,The tank published an article that announced its apology from the death penalty. 
4,Aught was left of the petition's validity,اویت از اعتبار تقاضا باقی مانده بود ,Utit was left out of demand credit 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,رییس جمهور، وزرای خود را به عنوان حمایت از اپوزیسیون اصلی از طرح اقتصادی خود به دست آورد، در مورد دست و پنجه نرم بود. ,"The president gained its ministers as supporting the main opposition of its economic plan, about buckle. "
6,The voters were chuffed to see the bill passed.,رأی دهندگان برای دیدن این لایحه گذشت. ,Voters passed to see the bill. 
7,The lawyer's discursive narration swayed the jury.,روایت گفتمان وکیل هیئت منصفه را به عهده گرفت. ,The narrative of the Jury's lawyer discourse. 
8,he court enjoined the violence!,دادگاه او خشونت را اعطا کرد! ,His court granted violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,بلوک اتحادیه اروپا مخالف اعمال احتمالی اقدامات ضد انقباض است. ,The EU block opposes the possible actions of anti-contraction measures. 
10,A fulsome eulogy was delivered by the sly counsel.,یک ستوی پرطرفدار توسط مشاور Sly تحویل داده شد. ,A popular stake was delivered by the Sly Consultant. 
11,The gig-economy agency decided to garnish the refunds!,آژانس بزرگ اقتصاد تصمیم گرفت تا بازپرداخت را به دست آورد! ,The Great Economy Agency decided to get a refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,اعضای جنبش انقلابی ضد تئوکراتیک، همسالان را در قدرت گرفتند! ,Members of the antiocratic revolutionary movement took peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,خائنان ناامید کننده تصمیم گرفتند با استعمارگران مبارزه کنند. ,The hopeless traitors decided to fight colonialists. 
