,sentence,Finnish,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Sodan huuto oikeuteen oli ohi - paljon viranomaisten tuhkalle. ,The suture of the war was over - a lot to the ashes of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Järjestelmän päätös Adumbrosoi taustalla olevan esityslistan. ,The system's decision to adumbrized underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Yhteisö oli ahdistunut paljon tarvittavien uudistusten välityksellä. ,The Community was anxious through a lot of necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Think Tank julkaisi paperin, jossa esitetään pääoman rangaistuksen anteeksipyyntö. ",Think Tank published a paper showing an apology for the capital punishment. 
4,Aught was left of the petition's validity,Vetoomuksen voimassaoloaika ,The validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Presidentti kehotti ministereitä solkeamaan keskeisen opposition tukemisen taloudellisen suunnitelmansa oli solki. ,The president called on ministers to underestimate the key opposition to support their economic plan was a buckle. 
6,The voters were chuffed to see the bill passed.,Äänestäjät kehottivat näkemään laskun. ,Voters urged to see the bill. 
7,The lawyer's discursive narration swayed the jury.,Asianajajan diskursiivinen kerronta hymyili tuomariston. ,The attorney's discursive narrative was smiled at the jury. 
8,The court enjoined the violence!,Tuomioistuin kieltäytyi väkivaltaan! ,The court refused to violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU: n esto vastusti polkumyyntitoimenpiteiden mahdollisia käyttöönottoa. ,The EU's inhibition resisted the potential imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Sly-neuvonantaja toimitti fulsome eulogiaa. ,The Sly Adviser provided fulsome euology. 
11,The gig-economy agency decided to garnish the refunds!,Gig-Economy-virasto päätti koristella palautuksia! ,Gig-Economy agency decided to decorate refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Anti-teocratic vallankumouksellisen liikkeen jäsenet kaatuvat ikäisensä vallassa! ,Anti-Teocratic Revolutionary Movement members crash in their peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Proputtorit päättivät taistella kolonialistien kanssa. ,Proputtors decided to fight with colonialists. 
