,sentence,Irish,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Bhí an caoin cogaidh ar son an cheartais thar - go mór le Chagrin na n-údarás. ,The cry of war for justice was over - greatly with the chagrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Admhaíonn cinneadh an chórais an clár oibre bunúsacha. ,The system's decision acknowledges the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Bhí an pobal imníoch thar na hathchóirithe a bhfuil géarghá leo a rith. ,The public was anxious over the urgently needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,D'fhoilsigh an t-umar smaoinimh páipéar ag cur síos ar a leithscéal pionóis chaipitil. ,The thought tank published a paper describing its capital penalties. 
4,Aught was left of the petition's validity,Bhí sé fágtha de bhailíocht na hachainí ,It was left in the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Rinne an tUachtarán a airí a spreagadh chun buckle suas mar go raibh tacaíocht fhreasúra lárnach dá phlean eacnamaíoch ar tí dul i ngleic leis. ,The President encouraged his ministers to buckle up as central opposition support for its economic plan was about to tackle. 
6,The voters were chuffed to see the bill passed.,Bhí na vótálaithe sumded chun an bille a rith. ,Voters were sumded to run the bill. 
7,The lawyer's discursive narration swayed the jury.,Suaitheadh narratuithe discréideach an dlíodóra an giúiré. ,The jury's discreet unreservant disturbance. 
8,The court enjoined the violence!,Chuir an chúirt isteach ar an bhforéigean! ,The court applied for the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Chuir an bloc an AE i gcoinne bearta frithdhumpála a fhorchur go deireadh. ,The EU block opposed anti-dumping measures to end. 
10,A fulsome eulogy was delivered by the sly counsel.,Sholáthair an t-abhcóide gly an t-abhcóide Fulsome. ,The Gly Counsel provided the Fulsome advocate. 
11,The gig-economy agency decided to garnish the refunds!,Chinn an Ghníomhaireacht Geilleagair Gig-Geilleagar na haisíocaíochtaí a garnish! ,The Gig-Economy Economy Agency decided to garnish repayments! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Chuir baill den ghluaiseacht réabhlóideach frith-theocratic leis na comhghleacaithe i gcumhacht! ,Members of the Revolutionary Antocratic movement with the colleagues in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Shocraigh na traitors díomá dul i ngleic leis na coilíneachtaí. ,These traitors decided to cope with the colonies. 
