,sentence,Scots_Gaelic,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Bha a 'chogaidh a' caoineadh a 'chogaidh a-null - mòran ri Cangrin nan ùghdarrasan. ,The war crying the War crying the War 'many as Canngrid's Cornwall were the Cornwanner of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Tha co-dhùnadh an rèim a 'toirt a-mach a' chlàr-obrach bunaiteach. ,The decision of the regime produces the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Bha a 'choimhearsnachd draghail mu dheidhinn an ath-leasachaidhean fada a tha a dhìth. ,The local community was concerned about their missing reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Dh'fhoillsich an Tanca Smacsa pàipear a 'toirt cunntas air leisgeul peanas calpa. ,The Plockton Tank announced an account of capital punishment. 
4,Aught was left of the petition's validity,Bha an toireadh air fhàgail de dhligheachd an athchuinge ,Would reserve the right of petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Dhaingnich an Ceann-suidhe air a mhinistearan a bhith a 'bucallachadh mar phrìomh thaic dùbhlannach airson a' Phlana Eaconamach aice a bhith a 'buckle. ,President confirmed its consignmental support for her economic plan being buckle. 
6,The voters were chuffed to see the bill passed.,Chaidh an luchd-bhòtaidh a chguffed a bhith a 'faicinn a' bhile seachad. ,The voters were buguffed to see the Bill. 
7,The lawyer's discursive narration swayed the jury.,Rinn aithris an neach-lagha an diùraidh. ,The lawyer's report made the jury. 
8,The court enjoined the violence!,Tha a 'chùirt a' faighinn fòirneart! ,Court gets violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Bha am bloc an EU an aghaidh dealbhadh taisbeanaidh de cheumannan an aghaidh dumpadh. ,The EU block was against exhibition planning of measures of dumped face. 
10,A fulsome eulogy was delivered by the sly counsel.,Chaidh h-umhail a chaidh a lìbhrigeadh leis a 'chomhairle Slyome a lìbhrigeadh. ,Universally delivered by the SKYOME Council has been delivered. 
11,The gig-economy agency decided to garnish the refunds!,Cho-dhùin a 'Bhuidheann Eaconamaidh Gig na dh' ath-dhìoladh a ghearradh! ,The Gig economy group decided to cut a refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Chuir buill den gluasad troma-cheilteach an-aghaidh theorratach às deidh a 'cho-aoisean ann an cumhachd! ,Members of the comedy repressed shift against the tense after the peer in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Cho-dhùin na riarachdan briseadh-dùil sabaid leis na coloninistearan. ,The disappeared decided to fight with the Colonsists. 
