,sentence,Galician,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,O choro de guerra pola xustiza todo terminou - moito para o desgusto das autoridades. ,The wake of war for justice everything has finished - a lot for the dislike of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,A decisión do réxime Adumbra a axenda subxacente. ,The decision of the regime adjudds the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,A comunidade estaba ansiosa polo paso das reformas moi necesitadas. ,The community was anxious for the passage of reforms very needed. 
3,The think tank  published a paper outlining their apology of capital punishment.,O think tank publicou un artigo que describiu a súa desculpa pola pena de morte. ,The Think Tank published an article that described his apology for the death penalty. 
4,Aught was left of the petition's validity,Quedou á validez da petición ,Was left to the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,O presidente exhortou aos seus ministros a abarcarse como o apoio da oposición clave polo seu plan económico que estaba a piques de abarcarse. ,The president exhorted his ministers to cover himself as the support of the key opposition by his economic plan that was about to encompass. 
6,The voters were chuffed to see the bill passed.,Os votantes foron atrapados para ver a factura pasada. ,Voters were trapped to see the past bill. 
7,The lawyer's discursive narration swayed the jury.,A narración discursiva do avogado balanceou o xurado. ,The discursive narration of the advocated rocked the cured. 
8,he court enjoined the violence!,O tribunal entrou á violencia! ,The court entered violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,O bloque da UE opúxose a unha eventual imposición de medidas anti-dumping. ,The EU block was opposed to an eventual imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Un Eulogía Feulsome foi entregado polo Sly Consello. ,An Eulogy Feulsome was delivered by Sly Council. 
11,The gig-economy agency decided to garnish the refunds!,A axencia de Gig-Economy decidiu decorar os reembolsos! ,The Gig-Economy agency decided to decorate reimbursements! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Os membros do movemento revolucionario antiocrático derrocaron aos compañeiros no poder. ,The members of the Antiocratic Revolutionary Movement overthrew colleagues in power. 
13,The traitors disappointingly decided to fight with the colonialists.,Os traidores decididamente decidiron loitar cos colonialistas. ,Traitors decidedly decided to fight with colonialists. 
