,sentence,Gujarati,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,ન્યાયમૂર્તિ માટે યુદ્ધનું રડવું પૂરું થયું - સત્તાવાળાઓના ચેગરીને ખૂબ જ વધારે હતું. ,The battle for the judge ended - the result of the authorities was very much. 
1,The regime's decision adumbrates the underlying agenda.,શાસનનો નિર્ણય અંતર્ગત એજન્ડાને વેગ આપે છે. ,The decision of the rule accelerates the agenda under the decision. 
2,The community was anxious over the passing of the much needed reforms.,સમુદાય ખૂબ જરૂરી સુધારાઓ પસાર કરવા માટે ચિંતિત હતા. ,The community was concerned about passing very necessary improvements. 
3,The think tank  published a paper outlining their apology of capital punishment.,થિંક ટાંકીએ મૂડીની સજાના માફીની રૂપરેખા આપતી એક પેપર પ્રકાશિત કરી. ,The Think tank a paper published a paper addressing for the waiver of capital punishment. 
4,Aught was left of the petition's validity,અરજીની માન્યતા છોડી દીધી હતી ,Had left the validity of the application 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,રાષ્ટ્રપતિએ તેમના મંત્રીઓને તેમના આર્થિક યોજના માટે ચાવીરૂપ વિરોધ પક્ષને ફટકારવાની વિનંતી કરી હતી. ,The President urged his ministers to hit the key opposition party for his economic plan. 
6,The voters were chuffed to see the bill passed.,મતદારોએ બિલ પસાર કરવા માટે મતદાન કર્યું હતું. ,Voters voted to pass the bill. 
7,The lawyer's discursive narration swayed the jury.,વકીલના વિવાદાસ્પદ વર્ણન જૂરીને કામ કરે છે. ,The debatable description of the lawyer works for the jury. 
8,he court enjoined the violence!,તેમણે કોર્ટે હિંસાને આદેશ આપ્યો! ,He ordered the corte violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ઇયુએ બ્લોકને એન્ટિ-ડમ્પિંગ પગલાંઓની અંતિમ લાદવાની વિરોધ કર્યો. ,The EU opposed the block of anti-dumping steps to the block. 
10,A fulsome eulogy was delivered by the sly counsel.,એક ફુલ્મોમની પ્રશંસાપત્ર દ્વારા વિતરિત કરવામાં આવી હતી. ,Was delivered by a Fulmam's testimonial. 
11,The gig-economy agency decided to garnish the refunds!,ગિગ-અર્થતંત્ર એજન્સીએ રિફંડ્સને સુશોભિત કરવાનો નિર્ણય કર્યો! ,The Gig-Economy Agency decided to decorate refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,વિરોધી દેવતા ક્રાંતિકારી ચળવળના સભ્યો પાવરમાં સાથીઓને ઉથલાવી દે છે! ,The members of the anti-god revolutionary movement shall overthrow allies in power! 
13,The traitors disappointingly decided to fight with the colonialists.,ત્રાસવાદીઓએ નિરાશાજનક રીતે વસાહતીવાદીઓ સાથે લડવાનું નક્કી કર્યું. ,Terrorists decided to fight with immigrants disappointed. 
