,sentence,Hausa,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Yau da yaƙin don adalci ya duka duka - da yawa ga hamsin hukumomin. ,Today the war is for righteousness to all - much for the fifty agencies. 
1,The regime's decision adumbrates the underlying agenda.,Shafin mulkin ya ba da gudummawa game da batun batun. ,The rule page contributes about the subject issue. 
2,The community was anxious over the passing of the much needed reforms.,Al'umma ta damu da wucewar sauye sauye-sauye. ,The community is worried about passage changes. 
3,The think tank  published a paper outlining their apology of capital punishment.,A irin tunanin da aka buga da takarda ya bayyana afuwawar su na hukuncin kisa. ,The type of idea was published by the paper to express their arrows. 
4,Aught was left of the petition's validity,Wani abu ya bar ingancin takarda kai ,Something left the quality of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Shugaban ya yi shelar ministocinsa don cinye ministocinsa don cin nasara a matsayin manyan kungiyoyin adawa don shirin tattalin arzikinsa ya kusan fewle. ,The president directly proclaimed his minutes to conquer his ministers to succeed as large groups of opposition for his economic program was nearly a fewle. 
6,The voters were chuffed to see the bill passed.,An kori masu jefa ƙuri'a don ganin lissafin ya wuce. ,Voters are driven to see the bill exceed. 
7,The lawyer's discursive narration swayed the jury.,Mai ba da labari mai laƙewa ya shawo kan mai yanke hukunci. ,The most window has been convinced. 
8,The court enjoined the violence!,Kotu ta tallafa wa tashin hankali! ,The court supports violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Hukumar EU ta tsayayya da abin da ya faru game da matakan rigakafin magunguna. ,The EU has spontaneously opposed what has happened about the vaccination measures. 
10,A fulsome eulogy was delivered by the sly counsel.,"Shawarar Eleuly ce, mai gargaɗin. ","It is OeHuly, a warner. "
11,The gig-economy agency decided to garnish the refunds!,Hukumar Tattarar Talata ta yanke shawarar Arenish da na biya! ,Tuesday decided to Arenish and paid! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Membobin tashin hankali na maganin hana rikice-rikicen rikice-rikice ya kakkce takobin ,Members of violence to prevent conflicting conflicts rendering the sword 
13,The traitors disappointingly decided to fight with the colonialists.,'Yan tawayen sun yanke shawarar yin gwagwarmaya tare da mulkin mallaka. ,The rebels decided to fight with the colonial dictatorship. 
