,sentence,Hawaiian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,"ʻO ke Kaua aku ke kaua no ka kaulike,ʻo ia ka mea āpau - nui loa i ka chagrin o nā luna. ","The war is to fight for balance, it's all the best - very much to the chagnter of the above. "
1,The regime's decision adumbrates the underlying agenda.,ʻO ka hoʻoholo a ka Regiome e hoʻonui i ka papahana ma lalo o ka papahana ma lalo. ,The Regioome's decision to increase the program below below. 
2,The community was anxious over the passing of the much needed reforms.,Ua hopohopo ke kaiāulu ma luna o ka heleʻana o nā hoʻoponopono nui e pono ai. ,The community is worried over the exchange of the main judgments necessary. 
3,The think tank  published a paper outlining their apology of capital punishment.,Ua paʻi ka manaʻoʻo Tank i kahi pepa e wehe i kā lākou noiʻana o ka hoʻopaʻiʻana i ka hoʻopaʻi. ,Tank's Tanks hit a paper to open their apologies of the punishment. 
4,Aught was left of the petition's validity,Ua haʻaleleʻia kahi mea i koe o ka pono o ka noi ,An item has left the right of the request 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Ua hoʻonuiʻia ka Pelekikena i kāna mau moni e huki i ke kākoʻo kū'ē e like me kāna hoʻolālā waiwai e pili ana i ka hoʻolālā waiwai. ,The President has been updated on his moneters to pull the opposite support as a validity plan about the asset. 
6,The voters were chuffed to see the bill passed.,Uaʻokiʻia nā kohona eʻike i ka bila i hala. ,Current Ownerships to make the last bill. 
7,The lawyer's discursive narration swayed the jury.,ʻO ka hōʻikeʻana o ke kānāwai loina i kauʻia i ka jury. ,The report of the law's law is to be a jury. 
8,he court enjoined the violence!,Ua hoʻomaʻamaʻaʻo ia i ka hanaʻino! ,He treated a job! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Ua kū'ē ka EU Block i kahi mea i hoʻohālikelikeʻia i ka hopena o nā hana anti-dumping. ,The Block is opposed to a comparison to the end of anti-dumping actions. 
10,A fulsome eulogy was delivered by the sly counsel.,Ua hāʻawiʻia mai kahi EULOGYU FUTOMIY e ka'ōlelo maikaʻi. ,It was assigned from an Eulogyu Fuutomy by the good language. 
11,The gig-economy agency decided to garnish the refunds!,Ua hoʻoholo ka hui o Gig-Economy e hōʻiliʻili i nā hoihoi! ,The Gig-Economy decides to collect interesting! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,ʻO nā lālā o ka neʻeʻana o ka hana anti-toocratic repondroth e hoʻolei i nā pea o ka mana! ,The members of the moving anti-toocratic repondroth to throw the pears of the power! 
13,The traitors disappointingly decided to fight with the colonialists.,Ua hoʻoholo pinepine nā mea hoʻokūkū e hakakā me nā koloni. ,The competitors often decided to fight with colonies. 
