,sentence,Haitian Creole,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Lagè a rèl pou jistis te tout lòt peyi sou - anpil nan chagren an nan otorite yo. ,The war for justice was all over - much of the grief of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Desizyon rejim nan adumbrate ajanda kache a. ,Decision regime in the adhasive agenda agenda. 
2,The community was anxious over the passing of the much needed reforms.,Kominote a te enkyete sou pase a nan refòm yo anpil nesesè. ,The community was worried about the past of the reforms needed. 
3,The think tank  published a paper outlining their apology of capital punishment.,Tank la panse pibliye yon papye ki montre ekskiz yo nan pinisyon kapital la. ,The thought tank publishes a paper showing the exquisite of capital punishment. 
4,Aught was left of the petition's validity,Aught te rete nan validite petisyon an ,Augt lived in the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Prezidan an ankouraje minis li yo mete senti sekirite kòm sipò opozisyon kle pou plan ekonomik li te sou nan bouk. ,The President encourages his ministers to put seat belts as key opposition support for its economic plan on the village. 
6,The voters were chuffed to see the bill passed.,Votè yo te chuffed yo wè bòdwo a pase. ,Voters were chuffed to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Narasyon discursive avoka a swayed jiri a. ,The attorney's discursive narrative swayed. 
8,he court enjoined the violence!,Li tribinal enju vyolans la! ,Read the Equity to Violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blòk Inyon Ewopeyen an te opoze yon enpozisyon evantyèlman nan mezi anti-moun ap jete fatra. ,The EU block opposes an eventual imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Yon eulogy fulsome te delivre nan konsèy la Sly. ,An Eulogy Fulsome was delivered to the Sly Council. 
11,The gig-economy agency decided to garnish the refunds!,Ajans la Gig-ekonomi deside gani ranbousman yo! ,The Gig-Economy Agency decided to ban the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Manm nan anti-teyokratik mouvman an revolisyonè detwi kamarad klas yo nan pouvwa! ,Members of the Anti-Theocratic Revolutionary Movement Destroy classmates in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Trèt yo incumidingly deside goumen ak kolonyalis yo. ,The trets incumidingly decided to fight with colonialists. 
