,sentence,Hungarian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Az igazságosság háborús sírása vége volt a hatóságok chagrinjához. ,War crying of justice was over to the Chagrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,A rendszer döntése az alapul szolgáló napirendet vetíti ki. ,The decision of the system projects the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,A Közösség aggódott a sok szükséges reformok átadása miatt. ,The Community was worried about the transfer of many necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Az agytröszt kiadott egy papírt vázolja bocsánatkérés halálbüntetés . ,The think tank released a paper outlining an apology for the death penalty. 
4,Aught was left of the petition's validity,Aught maradt a petíció érvényességét ,Aught left the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Az elnök arra buzdította a minisztereket, hogy csípte fel, mint a vezető ellenzéki támogatást a gazdasági terv volt, hogy csat . ",The President encouraged the ministers to pinching up as the leading opposition support for the economic plan was to buckle. 
6,The voters were chuffed to see the bill passed.,A szavazóknak meglátogatták a törvényjavaslatot. ,Voters have visited the bill. 
7,The lawyer's discursive narration swayed the jury.,Az ügyvéd diszkurzív elbeszélése elindult a zsűri. ,The lawyer's discursive narrative started the jury. 
8,The court enjoined the violence!,A bíróság megkapta az erőszakot! ,The court received the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Az EU blokkja ellenezte a dömpingellenes intézkedések esetleges bevezetését. ,The EU block has opposed the possible introduction of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,A fulsome eulogyat a Sly Counsel szállította. ,Fulsome was delivered at the Sly Counsel. 
11,The gig-economy agency decided to garnish the refunds!,"A Gig-Gazdasági Ügynökség úgy döntött, hogy a visszatérítéseket körít! ",The Gig-Economic Agency has decided to circles refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Az anti-teokratikus forradalmi mozgalom tagjai megdöntötték a pásztorokat! ,The members of the anti-tocratic revolutionary movement overthrew the shepherds! 
13,The traitors disappointingly decided to fight with the colonialists.,"Az árulók csalódottan úgy döntöttek, hogy harcolnak a gyarmatosítóokkal. ",The traitors are disappointed to fight with colonents. 
