,sentence,Armenian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Արդարադատության համար պատերազմի աղաղակը ավարտվեց իշխանությունների շագրինին: ,The cry of the war for justice ended by the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Ռեժիմի որոշումը վերացնում է հիմքում ընկած օրակարգը: ,Determination of the regime eliminates the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Համայնքը անհանգստացած էր շատ անհրաժեշտ բարեփոխումների ընդունման կապակցությամբ: ,The community was concerned about the need to adopt very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Մտածող կենտրոնը հրապարակեց մի թուղթ, որն ընդգրկում է նրանց կապիտալի պատժի ներողությունը: ",The Thinking Center published a paper that covers their capital punishment. 
4,Aught was left of the petition's validity,Օույտը մնացել էր միջնորդության վավերականությունից ,The oquer was remained from the validity of the motion 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Նախագահը հորդորեց իր նախարարներին, քանի որ իր տնտեսական պլանի համար հիմնական ընդդիմության աջակցությունը պետք է դառնա: ","The President urged his ministers, as the main opposition support for his economic plan should become. "
6,The voters were chuffed to see the bill passed.,"Ընտրողները խեղդվել են, տեսնելու, որ օրինագիծն անցավ: ",Voters drowned to see that the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Փաստաբանի դիսկուրսիվ պատմությունը շրջվեց ժյուրին: ,The attorney's discursive story turned the jury. 
8,The court enjoined the violence!,Դատարանը կարեւորեց բռնությունը: ,The court highlighted the violence. 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ԵՄ բլոկը դեմ է արտահայտվել հակամենաշնորհային միջոցառումների վերջնական պարտադրմանը: ,The EU bloke opposes the final obligation of antitrust measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Փառագործող էվուլերգությունը առաքվում էր խորամանկ խորհրդի կողմից: ,The enlightenment was delivered by a cunning council. 
11,The gig-economy agency decided to garnish the refunds!,Գիգ-տնտեսության գործակալությունը որոշեց զարդարել վերադարձումները: ,Gig-Economy Agency decided to decorate returns. 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Հակակուսակցական հեղափոխական շարժման անդամները տապալեցին իշխանության հասակակիցները: ,The members of the anti-party revolutionary movement failed the peers of the government. 
13,The traitors disappointingly decided to fight with the colonialists.,Դավաճանները հիասթափեցուցիչ որոշեցին պայքարել գաղութարարների հետ: ,The traitors decided to fight with the colonists. 
