,sentence,Indonesian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Tangisan perang untuk keadilan semuanya berakhir - banyak dari kecewa pihak berwenang. ,The cry of war for justice everything ends - a lot of disappointed authorities. 
1,The regime's decision adumbrates the underlying agenda.,Keputusan rezim melampaui agenda yang mendasarinya. ,The decision of the regime surpassed the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Komunitas cemas atas lewat reformasi yang sangat dibutuhkan. ,The community is anxious over through reforms that are very much needed. 
3,The think tank  published a paper outlining their apology of capital punishment.,Think Tank menerbitkan sebuah makalah yang menguraikan permintaan maaf mereka tentang hukuman mati. ,Think Tank published a paper that outlined their apologies about the death penalty. 
4,Aught was left of the petition's validity,Aught tersisa dari validitas petisi ,Aught remaining from the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Presiden mendesak para Menteri-Nya untuk mengikat karena dukungan oposisi utama untuk rencana ekonominya hanyalah gesper. ,The president urged his ministers to bind because the main opposition support for his economic plan was just a buckle. 
6,The voters were chuffed to see the bill passed.,Para pemilih dibuang untuk melihat tagihan berlalu. ,The voters were discarded to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Narasi diskursif pengacara menggoyang juri. ,Discursive narratives Lawyers shake the jury. 
8,he court enjoined the violence!,Dia pengadilan memerintahkan kekerasan! ,He was the court ordered violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blok UE menentang pengenaan akhir dari langkah-langkah anti-dumping. ,The EU block opposes the final imposition of anti-dumping steps. 
10,A fulsome eulogy was delivered by the sly counsel.,Eulogy yang fulsome disampaikan oleh nasihat Sly. ,The fulsome eulogy was delivered by Sly's advice. 
11,The gig-economy agency decided to garnish the refunds!,Badan pertunjukan ekonomi memutuskan untuk menghiasi pengembalian uang! ,Economic shows decide to decorate refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Anggota gerakan revolusioner anti-teokratis menggulingkan rekan-rekannya dalam kekuasaan! ,Members of the anti-theocrevel revolutionary movement overthrow their colleagues in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Pengkhianat mengecewakan memutuskan untuk bertarung dengan para kolonialis. ,The disappointing traitor decided to fight with the colonialists. 
