,sentence,Igbo,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Agha na-eti mkpu ikpe maka ikpe ziri ezi karịrị akarị - ihe dị ukwuu maka ndị ọchịchị. ,Wars keep crying for more than a superhuman justice - much for the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Mkpebi ọchịchị a na-ada ada na-akpata nsogbu. ,This wicked rule is a source of distress. 
2,The community was anxious over the passing of the much needed reforms.,Obodo nwere nchegbu maka ịgabiga mgbanwe dị oke mkpa. ,The city has concern for a critical exchange. 
3,The think tank  published a paper outlining their apology of capital punishment.,There na tank bipụtara akwụkwọ na-edekọ mgbaghara ha nke ntaramahụhụ isi. ,There and the tank published in the books of their outward punishment. 
4,Aught was left of the petition's validity,A na-ahapụ Aught nke nkwado ,Aight Aight of Support 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Onye isi ala gbara ndị ozi ya ume ịchịkwa dị ka nkwado mmegide dị mkpa maka atụmatụ akụ na ụba ya na-achọ igbu. ,The president encouraged his ministers to control as an important opposing opposition for her economic plans to kill. 
6,The voters were chuffed to see the bill passed.,Ndị ntuli aka ahụ nwere iji hụ Bill ahụ gafere. ,The voters have to see the Bill is over. 
7,The lawyer's discursive narration swayed the jury.,Nkọwa onye ọka iwu na-agbagha ndị ọka iwu ahụ. ,The lawyer's description of the lawyers. 
8,The court enjoined the violence!,Courtlọ ikpe ahụ jisie ike ahụ. ,The court really moves the power. 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Ihe mgbochi EU megidere ihe omume na-egbochi usoro mgbochi. ,EU blocks opposed to activities that prevent restrictions. 
10,A fulsome eulogy was delivered by the sly counsel.,Ndụmọdụ Sulog nke Sulogy napụtara. ,Sog's advice is rescued. 
11,The gig-economy agency decided to garnish the refunds!,Agesseylọ ọrụ akụ na ụba na-ewu ewu maka ịnyaghachi nkwụghachi! ,The economy is popular for a return to the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Ndị otu ngagharị mgbanwe mgbanwe nke mgbochie megide ndị ọgbọ na ike! ,The Change Report of Prevention against peers and power! 
13,The traitors disappointingly decided to fight with the colonialists.,Ndị na-achụ nta nke ukwuu na-emechu ihu na ndị ọchịchị. ,People who are very hunting are humble and authorities. 
