,sentence,Japanese,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,正義の戦争泣きは、当局の悔い改めに大いにあった。 ,The war crying in justice was great for the repentance of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,政権の決定は、基礎となる議題を欺く。 ,The decision of the administration deceures the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,コミュニティは、多くの必要な改革を通過することに心配していました。 ,The community was worried about passing many necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Think Tankは、首都罰の謝罪を概説する論文を発表しました。 ,Think Tank announced a dissertation outlines the apology of the capital punishment. 
4,Aught was left of the petition's validity,AUGHTは請願の妥当性の左にありました ,AUGHT was on the left of the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,彼の経済計画の主な反対のサポートが座屈しようとしているので、大統領は彼の閣僚を座屈立させた。 ,"As the main opposite support of his economic plan is trying to buckle, the president sows his ministers. "
6,The voters were chuffed to see the bill passed.,有権者は紙幣が渡されたのを見るためにかわいいです。 ,Voters are cute to see banknotes passed. 
7,The lawyer's discursive narration swayed the jury.,弁護士の聴覚的なナレーションは陪審員を揺れました。 ,Lawyer's auditory narration shaking jury. 
8,he court enjoined the violence!,彼の裁判所は暴力を行った！ ,His court was violent! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EUブロックは、ダンピング対策対策の最終的な課題に反対した。 ,The EU block opposed the final challenge of damping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome EulogyがSly Counselによって提供されました。 ,FULSOME EULOGY was provided by Sly Counsel. 
11,The gig-economy agency decided to garnish the refunds!,ギグ経済機関は払い戻しを飾ることにしました！ ,Gig Economic Organization decided to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,抗Teolocratic革命的な運動のメンバーは、パワーのピアを覆い隠しました！ ,Anti-Teolocratic Revolutionary Members Hide Power Peer! 
13,The traitors disappointingly decided to fight with the colonialists.,裏切り者は、植民地派と戦うことに失望しています。 ,The trailer is disappointed to fight colonial schools. 
