,sentence,Javanese,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Perang mewek kanggo keadilan kabeh ana ing gedhong panguwasa. ,The war cry for all justice in the building. 
1,The regime's decision adumbrates the underlying agenda.,Keputusan rezim nyaranake agenda sing ndasari. ,Results regime suggests that the underlying agenda . 
2,The community was anxious over the passing of the much needed reforms.,Komunitas kasebut kuwatir amarga nglalekake pembaharuan sing akeh. ,The community is worried about to ignore a large reform. 
3,The think tank  published a paper outlining their apology of capital punishment.,Tank think nerbitake kertas sing bisa njaluk ngapura babagan paukuman modal. ,THINK Tank Issuing the paper that could be forgiven for the capital punishment. 
4,Aught was left of the petition's validity,Aaught kiwa saka validitas petisyen ,Aaught Kianwa Petition Validitas 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Presiden menehi menteri kanggo nggulung minangka dhukungan oposisi utama kanggo rencana ekonomi yaiku kira-kira. ,The President gives the minister to scroll as the main opposition support for the economic plan is approximately. 
6,The voters were chuffed to see the bill passed.,Pamilih padha nggronjal kanggo ndeleng tagihan sing wis dilalekake. ,Voters they rugged to see the bills that have been forgotten. 
7,The lawyer's discursive narration swayed the jury.,Narasi narasi pengacara swayed juri. ,Narrative Narrative lawyer swayed jury. 
8,he court enjoined the violence!,Dheweke pengadilan disemprotake kekerasan! ,She is the court sprayed violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blok EU nentang impositasi langkah-akèh anti-dumping. ,EU block opposed impossible effects of step anti-dumping. 
10,A fulsome eulogy was delivered by the sly counsel.,Eulogy sing wis diwenehake dening pitunjuk kanthi urutan. ,Eulogy that has been given by a clue in order. 
11,The gig-economy agency decided to garnish the refunds!,Badan Gig-Ekonomi mutusake kanggo ngasilake pembayaran maneh! ,The gig-economy body decides to produce payment again! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Anggota gerakan revolusi anti-teokrasi nggulingake para kanca ing kekuwatan! ,Members of the movement of the anti-new-new-newest revolution ourselves against their friends in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Pengurangan nguciwani mutusake kanggo nglawan kolonialis. ,Reductional reduction decided to fight the colonials. 
