,sentence,Georgian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,მართლმსაჯულების ომის ტირილი მთელი ქვეყნის მასშტაბით იყო. ,The war of justice was crying throughout the country. 
1,The regime's decision adumbrates the underlying agenda.,რეჟიმის გადაწყვეტილება adumbrates ძირითადი დღის წესრიგი. ,The decision of the regime Adumbrates is the main agenda. 
2,The community was anxious over the passing of the much needed reforms.,საზოგადოება შეშფოთებულია ბევრად საჭირო რეფორმების გავლის შემდეგ. ,The society is concerned about much necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"ფიქრი სატანკო გამოაქვეყნა ქაღალდი, რომელიც ასახავს მათი ბოდიშის მოხდას. ",Thinking a tank has published a paper that reflects their apology. 
4,Aught was left of the petition's validity,Aught დარჩა პეტიციის მოქმედების ,Aught remained in a petition action 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"პრეზიდენტმა თავისი მსახურები მოუწოდა, როგორც მისი ეკონომიკური გეგმისთვის მთავარი ოპოზიციის მხარდაჭერა ბალდეის შესახებ იყო. ",The President urged his servants as supporting the main opposition to his economic plan. 
6,The voters were chuffed to see the bill passed.,ამომრჩეველმა ჩაიარა კანონპროექტის სანახავად. ,The voter went to see the bill. 
7,The lawyer's discursive narration swayed the jury.,ადვოკატთა დისკურსიური ნარაცია ჟიური იყო. ,The discourse of the lawyers was a jury. 
8,The court enjoined the violence!,სასამართლომ ძალადობა მოაწყო! ,The court organized violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ევროკავშირის ბლოკი ეწინააღმდეგებოდა ანტი-გადანაწილების ზომების საბოლოო დაკისრებას. ,The EU block was opposed to the final imposition of anti-redistribution measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome Eulogy გადაეცა Sly რჩევა. ,Fulsome Eulogy was given a sly advice. 
11,The gig-economy agency decided to garnish the refunds!,Gig- ეკონომიკის სააგენტომ გადაწყვიტა დაბრუნების დასაბრუნებლად! ,GIG-Economy Agency decided to return to return! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,ანტი-თეოკრატიული რევოლუციური მოძრაობის წევრებმა ძალაუფლებაში თანატოლები დაამარცხეს! ,Members of the anti-theocratic revolutionary movement defeated peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,მოღალატეებმა იმედგაცრუებულნი გადაწყვიტეს კოლონალიტებთან ბრძოლა. ,The traitors decided to fight with colonitals. 
