,sentence,Kazakh,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Әділеттілік үшін соғыс жылағаны бәрінен бұрын болды - биліктің хагриніне көп нәрсе болды. ,"For justice, the war was used to cry all before everything - there was a lot of power to the Hagrin. "
1,The regime's decision adumbrates the underlying agenda.,Режимнің шешімі жарқын күн тәртібін жарнамалайды. ,The regime solution advertises a bright agenda. 
2,The community was anxious over the passing of the much needed reforms.,Қоғамдастық көптеген қажетті реформаларды қабылдаудан асып түсті. ,The community exceeded the adoption of many necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Ойлау танктері өздерінің жазаланатын кешірім сұрайтын қағазды жариялады. ,The thinking tanks have published their own punishment. 
4,Aught was left of the petition's validity,Өтініштің жарамдылығынан ауыс қалды ,Has changed from the validity of the application 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Президент өздерінің министрлеріне оның экономикалық жоспарына арналған негізгі оппозициялық қолдау көрсету үшін ескерту жасады. ,The President warned its ministers to provide basic opposition support for its economic plan. 
6,The voters were chuffed to see the bill passed.,Сайлаушылар жіберілген заң жобасын көруге болады. ,You can see the bill sent by voters. 
7,The lawyer's discursive narration swayed the jury.,Қазылар алқасының адвокатының дискурсивті әңгімесі көтерілді. ,The discusive conversation of the jury's lawyer has risen. 
8,The court enjoined the violence!,Сот зорлық-зомбылықты білдірді! ,The court expressed violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ЕО блогы демпингке қарсы шаралар қабылдауға қарсы болды. ,The EU blog was opposed to taking anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Фулсомды Эулогияны кең кеңеспен жеткізді. ,Brought to the Fulsome Eulogy with a wide council. 
11,The gig-economy agency decided to garnish the refunds!,Гиг-Экономика агенттігі қайтаруды бітті деп шешті! ,The GIG-Economy Agency decided to return the return! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Теократиялық революциялық қозғалыс мүшелері биліктегі құрдастарын қуып шығарды! ,Members of theocratic revolutionary movement expelled his peers! 
13,The traitors disappointingly decided to fight with the colonialists.,Сатушылар отаршылдармен күресуге шешім қабылдады. ,Sellers decided to fight colonies. 
