,sentence,Khmer,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,សង្គ្រាមស្រែករកយុត្តិធម៌អស់ហើយ - ច្រើនក្នុងការចោទប្រកាន់របស់អាជ្ញាធរ។ ,The war shouts for justice - much in the authorities' accusation. 
1,The regime's decision adumbrates the underlying agenda.,ការសម្រេចចិត្តរបស់របបនេះ adumbrates របៀបវារៈមូលដ្ឋាន។ ,The decision of the regime adumbrates the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,សហគមន៍មានការអន្ទះសាធំជុំវិញការឆ្លងកាត់កំណែទម្រង់ដែលត្រូវការ។ ,The community is anxious around the passing of reform. 
3,The think tank  published a paper outlining their apology of capital punishment.,ក្រុមអ្នកគិតបានចេញផ្សាយក្រដាសមួយដែលបង្ហាញពីការសុំទោសរបស់ពួកគេចំពោះការដាក់ទណ្ឌកម្មមូលធន។ ,Thinkers released a paper showing their apology for the capital punishment. 
4,Aught was left of the petition's validity,Aught នៅសល់នៃសុពលភាពរបស់ញត្តិ ,Aught rest of the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,លោកប្រធានាធិបតីបានដាស់តឿនរដ្ឋមន្ត្រីការរួមរបស់ខ្លួនឱ្យមានការគាំទ្រយ៉ាងខ្លាំងចំពោះផែនការសេដ្ឋកិច្ចរបស់លោកគឺចង់តម្កល់។ ,"The president admonished its own ministers to have a strong support for his economic plans, wanting to be made up. "
6,The voters were chuffed to see the bill passed.,អ្នកបោះឆ្នោតត្រូវបានគេចុកឡើងនៅពេលឃើញវិក័យប័ត្របានឆ្លងកាត់។ ,Voters are fed up to see the bill crossed. 
7,The lawyer's discursive narration swayed the jury.,ការនិទានកថាដ៏ក្លករបស់មេធាវីបានធ្វើឱ្យមានគណៈវិនិច្ឆ័យ។ ,The clinical narrative of the lawyer made a jury. 
8,he court enjoined the violence!,លោកតុលាការបានចូលរួមបំផ្លាញអំពើហឹង្សានេះ! ,The court has contributed to the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,បណ្តុរសហភាពអឺរ៉ុបបានប្រឆាំងនឹងការដាក់វិធានការប្រឆាំងនឹងការបោះចោល។ ,The European Union mouse opposes the restrictions against disposal. 
10,A fulsome eulogy was delivered by the sly counsel.,ពាក្យសរសើរដាច់ ៗ ត្រូវបានចែកចាយដោយដំបូន្មានរបស់ SLY ។ ,Defacted words are distributed by Sly's advice. 
11,The gig-economy agency decided to garnish the refunds!,ទីភ្នាក់ងារសេដ្ឋកិច្ចជីជីបានសម្រេចចិត្តធ្វើឱ្យមានការសងប្រាក់វិញ! ,GIG economic agency decided to make refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,សមាជិកនៃចលនាប្រឆាំងបដិរូបត្ថម្ភបានទម្លាក់មិត្តភក្តិនេះ! ,Members of anti-feed movements have dropped this friend! 
13,The traitors disappointingly decided to fight with the colonialists.,ជនក្បត់ដែលខកខានមិនបានធ្វើឱ្យមានការប្រយុទ្ធប្រឆាំងនឹងពួកអាណានិគមនិយម។ ,The traitors failed to have a fight against colonism. 
