,sentence,Kannada,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,ನ್ಯಾಯಕ್ಕಾಗಿ ಯುದ್ಧದ ಕೂಗು ಎಲ್ಲಾ ಮೇಲೆ - ಅಧಿಕಾರಿಗಳ ಚಗ್ರಿನ್ಗೆ ಹೆಚ್ಚು. ,The cry of the war for justice is all over the chargin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,ಆಳ್ವಿಕೆಯ ನಿರ್ಧಾರವು ಆಧಾರವಾಗಿರುವ ಕಾರ್ಯಸೂಚಿಯನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ. ,The reign decision causes the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,ಅಗತ್ಯ ಸುಧಾರಣೆಗಳ ಹಾದುಹೋಗುವ ಮೂಲಕ ಸಮುದಾಯವು ಆಸಕ್ತಿದಾಯಕವಾಗಿತ್ತು. ,The community was interesting by passing the necessary improvements. 
3,The think tank  published a paper outlining their apology of capital punishment.,ಚಿಂತನೆಯ ಟ್ಯಾಂಕ್ ಮರಣದಂಡನೆಯ ಕ್ಷಮೆಯನ್ನು ರೂಪಿಸುವ ಕಾಗದವನ್ನು ಪ್ರಕಟಿಸಿತು. ,Thinking tank announced the paper that forms the execution of the execution. 
4,Aught was left of the petition's validity,ಅರ್ಜಿದಾರರ ಮಾನ್ಯತೆಯಿಂದ ಹೊರಬಂದಿತು ,Out of the applicant's recognition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,ಅಧ್ಯಕ್ಷ ತನ್ನ ಮಂತ್ರಿಗಳು ತನ್ನ ಆರ್ಥಿಕ ಯೋಜನೆಗೆ ಬಕಲ್ ಮಾಡಬೇಕಾದ ಪ್ರಮುಖ ವಿರೋಧ ಬೆಂಬಲವಾಗಿ ಬಕಲ್ ಮಾಡುತ್ತವೆ. ,The president buckles the major opposition to make his ministers buckle to his financial plan. 
6,The voters were chuffed to see the bill passed.,ಮಸೂದೆಯನ್ನು ರವಾನಿಸಲು ಮತದಾರರನ್ನು ಚುಚ್ಚಲಾಗುತ್ತಿತ್ತು. ,Were injected voters to pass the bill. 
7,The lawyer's discursive narration swayed the jury.,ವಕೀಲರ ದೌರ್ಜನ್ಯದ ನಿರೂಪಣೆ ತೀರ್ಪುಗಾರರನ್ನು ದುರ್ಬಲಗೊಳಿಸಿತು. ,The narrative of the lawyer's harassment weakened the jury. 
8,he court enjoined the violence!,ಅವರು ನ್ಯಾಯಾಲಯವು ಹಿಂಸೆಯನ್ನು ಉಂಟುಮಾಡಿದೆ! ,He has caused the court's violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ಇಯು ಬ್ಲಾಕ್ ವಿರೋಧಿ ಡಂಪಿಂಗ್ ಕ್ರಮಗಳ ಸಮಗ್ರತೆಯನ್ನು ವಿರೋಧಿಸಿತು. ,The EU blocked the integrity of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,ಒಂದು ಫುಲ್ಸಮ್ ಯುಲೋಜಿಯನ್ನು ಸ್ಲೈ ಆಫೀಸ್ಗೆ ವಿತರಿಸಲಾಯಿತು. ,A Fullsum Yulogi was delivered to the slave office. 
11,The gig-economy agency decided to garnish the refunds!,ಗಿಗ್-ಆರ್ಥಿಕ ಸಂಸ್ಥೆ ಮರುಪಾವತಿಗಳನ್ನು ಅಲಂಕರಿಸಲು ನಿರ್ಧರಿಸಿತು! ,Gig-financial agency decided to decorate repayments! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,ವಿರೋಧಿ-ವಿರೋಧಿ ಕ್ರಾಂತಿಕಾರಿ ಚಳುವಳಿಯ ಸದಸ್ಯರು ಪವರ್ನಲ್ಲಿ ಗೆಳೆಯರನ್ನು ಉರುಳಿಸಿದರು! ,Members of the anti-revolutionary movement rolled into the Power on Power! 
13,The traitors disappointingly decided to fight with the colonialists.,ದ್ರೋಹಿಗಳು ನಿರಾಶಾದಾಯಕವಾಗಿ ವಸಾಹತುಶಾಹಿಗಳೊಂದಿಗೆ ಹೋರಾಡಲು ನಿರ್ಧರಿಸಿದರು. ,The traitors decided to disappoint the colonial colonists. 
