,sentence,Korean,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,정의를위한 전쟁 외침은 당국의 괴짜가있는 것에 대해 많이 끝났습니다. ,The war cry for definition is over a lot about the geek of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,정권의 결정은 기본 의제를 adumbrates합니다. ,The decision of the regime adumbrates the default agenda. 
2,The community was anxious over the passing of the much needed reforms.,공동체는 필요한 많은 개혁을 지나치게하는 것에 대해 불안했습니다. ,The community was unstable for overriding many reforms required. 
3,The think tank  published a paper outlining their apology of capital punishment.,Think Tank는 자본 처벌 사과를 개요하는 논문을 발표했습니다. ,Think Tank has announced a papers that overview capital punishment apples. 
4,Aught was left of the petition's validity,Aught는 청원서의 유효성을 남겼습니다 ,AUGHT has left the petition's validity 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,대통령은 경제 계획에 대한 핵심 야당 지원에 대한 핵심 야당 지원이 버클을 던지기로 한 그의 장관들이 버클을 촉진 시켰습니다. ,The president has promoted his core opposition support for the core opposition support for the economic plan. 
6,The voters were chuffed to see the bill passed.,유권자들은 지나갈 수있는 청구서를보기 위해 멍청했습니다. ,Voters were stupid to see the invoice that can pass. 
7,The lawyer's discursive narration swayed the jury.,변호사의 불법적 인 나레이션은 배심원을 흔들었다. ,The illegal narration of the lawyer shaken the jury. 
8,The court enjoined the violence!,법원은 폭력을 겪었습니다! ,The court has suffered violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU 블록은 덤핑 방지 조치의 궁극적 인 부과가 반대했습니다. ,The EU block opposed the ultimate imposition of the dumping protection measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome 찬양이 Sly Counsel에 의해 배달되었습니다. ,Fulsome praise was delivered by SLY COUNSEL. 
11,The gig-economy agency decided to garnish the refunds!,Gig-Economy 기관은 환불을 장식하기로 결정했습니다! ,The GIG-ECONOMY agency has decided to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,반 활성 혁명적 인 운동의 구성원은 동료들에게 전력을 전복 시켰습니다! ,Members of anti-active revolutionary movements have overturned power to their colleagues! 
13,The traitors disappointingly decided to fight with the colonialists.,배신자들은 실망스럽게 식민지와 싸우기로 결정했습니다. ,Deliverers were disappointed and decided to fight colonies. 
