,sentence,Kurdish,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Theerê digirîn ji bo edaletê her tiştî bû - pir ji bo qefesa rayedaran. ,The crying was everything for justice - so much for the stage of authorities. 
1,The regime's decision adumbrates the underlying agenda.,Biryara rejîmê rojeva binavê adumb dike. ,The decision of the regime is adumbed to the bottom of the hand. 
2,The community was anxious over the passing of the much needed reforms.,Civat li ser derbasbûna reformên pir hewceyê xemgîn bû. ,The community was sorry about the passage of high reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Tankê difikirin ku kaxezek ku lêborîna xwe ya cezayê sermiyanê derxistiye weşandin. ,Tanks thinking a piece of paper that has issued a capital penalty apologies. 
4,Aught was left of the petition's validity,Aught ji mafê derbasdariyê hate hiştin ,Aught was left of the right of validity 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Serokkomar wezîrên xwe ji ber ku piştevaniya dijberiya mimkûnê ji bo plansaziya aborî ya xwe li ber zengilê bû. ,The president of their ministers was because of supporting possible opposition for its economic plan in front of the ring. 
6,The voters were chuffed to see the bill passed.,Hilbijêr hatin qefilandin da ku fatûreya derbasbûyî bibînin. ,The voters were crushed to see the passage of the bill. 
7,The lawyer's discursive narration swayed the jury.,Parêzerê Narrationê Discursive jûriyê şil kir. ,Discursive Discursive Discussion lawyer wet the jury. 
8,The court enjoined the violence!,Dadgeh şîdetê xist! ,The court hit the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Bloka YE li dijî ferasetek bûyerê ya tedbîrên dijî-dumping. ,The EU block is against anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Eulogyek Fulsome ji hêla şîreta Sly ve hate radest kirin. ,A fulsome eulog was handed over by SLY advice. 
11,The gig-economy agency decided to garnish the refunds!,Ajansa Gig-Aboriyê biryar da ku bertekên drav bide! ,The Gig-Economic agency decided to pay the reactions! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,"Endamên Tevgera Revolutionaryoreşa Anti-Droomrat, pezên xwe li hêzê barandin! ","Members of the Anti-Droomrat Revolution Revolutionary Revolution, shooting their peers in power! "
13,The traitors disappointingly decided to fight with the colonialists.,Xeydkar bi dilşikestî biryar da ku bi kolonyalîst re şer bikin. ,The environment decently decided to fight colonistically. 
