,sentence,Kyrgyz,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Согушка өкүрүк акыйкаттыктын зарылдыгы бүткүл бийликтин Чагринге көп нерсе болду. ,The need for cure for the war has much much about the whole government. 
1,The regime's decision adumbrates the underlying agenda.,Режимдин чечими негизги күн тартибин кабыл алат. ,The decision of the regime shall adopt the main agenda. 
2,The community was anxious over the passing of the much needed reforms.,Коомчулук талап кылынган реформалардын өтүшүнө тынчсызданып жатты. ,The public worried about the transfer of reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Аналитикалык борбор калктын азабынан кечирим сураган кагазды баскан. ,Analytical Center pressed a book that apologizes from the public's extremes. 
4,Aught was left of the petition's validity,Өтүнүчүнүн жарактуулугунан калган ,Left from the validity of his request 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Президент министрлерине өзүнүн экономикалык планынан негизги каршылык көрсөтүү үчүн негизги колдоого катышуу үчүн үндөдү. ,The ministers have called on the ministers to take major support to the main resistance of its economic plan. 
6,The voters were chuffed to see the bill passed.,Шайлоочулар мыйзам долбоорун көрүшкөн. ,Voters viewed a bill. 
7,The lawyer's discursive narration swayed the jury.,Адвокаттын дискурсивдүү баянында калыстар тобуна кирди. ,The lawyer entered the jury in the discourse. 
8,The court enjoined the violence!,Сот зомбулукка буйрук берген! ,The court ordered the abuse! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Евробиримдик блогу - демпингге каршы чараларды көрүүгө каршы чыккан. ,The European Union blog has opposed anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Ыкчам кеңештер менен толук эулология жеткирилген. ,The full evology was delivered by the prompt advice. 
11,The gig-economy agency decided to garnish the refunds!,Гиг-экономика агенттиги кайтарып берүүнү чечкен! ,The Gib-Economy Agency decided to reap! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Теократиялык революциялык кыймылдын мүчөлөрү бийликтин курбуларына кулатат! ,Members of the Theocratic Revolutionary Movement will overthrow the government! 
13,The traitors disappointingly decided to fight with the colonialists.,Сабактар колонизаторлор менен согушууну чечти. ,Lessons have decided to fight the colonizers. 
