,sentence,Luxembourgish,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,De Krich krius op d'Gerechtegkeet war et iwwerall - vill op de Juli-Autoritéiten. ,The War Crush on the righteousness it was everywhere - a lot on July-authorities. 
1,The regime's decision adumbrates the underlying agenda.,D'Regime vun der Regime huet d'Basisdaten Agenda ofgerappt. ,The regime of the regime has raising the basic data agenda. 
2,The community was anxious over the passing of the much needed reforms.,D'Gemeinschaft war ängschtlech iwwer déi vill gebrauchte Reformen. ,The community was fearful about the many used reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Den Denken Tank huet e Pabeier hir Entschëllegung vu Kapitalstrooss erausginn. ,The thinking tank has issued a paper their apology from capital road. 
4,Aught was left of the petition's validity,Atried war lénks vun der Getreide vun der Petitioun ,AtRRED was left of the cereal of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"De President huet seng Ministesch Ministere gedréit fir souzechnen Uerdnung opzespueniell z'erreechen, fir säi Wirtschaftsplang ze begleet ginn. ",The President turned his ministry ministers to get up so drawing order order to accompany his economic plan. 
6,The voters were chuffed to see the bill passed.,D'Wieler goufe geklappt fir d'Gesetzesprojet ze gesinn. ,The voters were folded to view the bill. 
7,The lawyer's discursive narration swayed the jury.,Den Ofkierzung vun der Affekot ass d'Naratioun an d'Jury ze goen. ,The abbreviation of the lawyer is the narization and the jury to go. 
8,The court enjoined the violence!,D'Geriicht huet d'Gewalt geläscht! ,The Court has deleted the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,D'EU Blockéierung géint eng eventuell Impositioun vun anti-dumpende Moossnamen. ,The EU blockage against an eventful imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,E FOLFESCH EULOGY gouf vum Sly Berod geliwwert. ,A folk-eulogy has been delivered by SLY advance. 
11,The gig-economy agency decided to garnish the refunds!,D'Aig-Economie Agentur huet d'Exponne gezielt ginn! ,The AIG-Economy agency has been counted! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Membere vun der anti-thorologescher Revolutionär Bewegung déi d'Kollegen an der Kraaft iwwerschloen! ,Members of the anti-thorological revolutionary movement that crosses the colleagues in the power! 
13,The traitors disappointingly decided to fight with the colonialists.,D'Traktoren enttäuscht sech entscheet ze kämpfen mat der Colonialisten. ,The tractors disappoints to fight with the colonialists. 
