,sentence,Lao,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,ການຮ້ອງໄຫ້ສົງຄາມເພື່ອຄວາມຍຸຕິທໍາແມ່ນຫມົດທຸກຢ່າງ - ຫຼາຍຕໍ່ກັບເຈົ້າຫນ້າທີ່. ,Crying war for justice is all-more with the authorities. 
1,The regime's decision adumbrates the underlying agenda.,ການຕັດສິນໃຈຂອງລະບອບໄດ້ຮັບການຕັດສິນການວາລະການພົວພັນລະບອບລະບອບ. ,Decisions of the regime has been judged by the regulator of the regime. 
2,The community was anxious over the passing of the much needed reforms.,ຊຸມຊົນມີຄວາມກັງວົນໃຈໃນການຖ່າຍທອດການປະຕິຮູບທີ່ຈໍາເປັນຫຼາຍ. ,Communities are concerned in passing many necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,ຖັງຄິດທີ່ເຜີຍແຜ່ເອກະສານທີ່ຊີ້ໃຫ້ເຫັນການຂໍໂທດຂອງເຂົາເຈົ້າກ່ຽວກັບການລົງໂທດນະຄອນຫຼວງ. ,The tank is aware of the document that indicates their apology on capital punishment. 
4,Aught was left of the petition's validity,ughted ແມ່ນປະໄວ້ຂອງຄວາມຖືກຕ້ອງຂອງການຮ້ອງຟ້ອງຂອງ ,utted is left of the accuracy of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,ປະທານາທິບໍດີໄດ້ແນະນໍາລັດຖະມົນຕີຂອງລາວໃຫ້ເປັນຜູ້ສະຫນັບສະຫນູນການຄັດຄ້ານດ້ານເສດຖະກິດຂອງທ່ານແມ່ນກໍາລັງຈະຄຸເຂົ່າ. ,The President suggested his ministers to support your economic opposition is to kneel. 
6,The voters were chuffed to see the bill passed.,ຜູ້ມີສິດເລືອກຕັ້ງໄດ້ຮັບການສົນທະນາເພື່ອເບິ່ງວ່າໃບບິນຜ່ານຜ່ານໄປ. ,The optist has been talking to see if the bill has gone. 
7,The lawyer's discursive narration swayed the jury.,ການເລົ່າເລື່ອງການປະກາດຂອງທະນາຍຄວາມຂອງທະນາຍຄວາມໄດ້ເຮັດໃຫ້ຄະນະກໍາມະການ. ,The proclamation of the lawyer declaration of lawyers made the commission. 
8,he court enjoined the violence!,ສານສານໄດ້ເຂົ້າຮ່ວມຄວາມຮຸນແຮງ! ,Court was attending violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ສະຫນາມສະຫະພາບເອີຣົບຄັດຄ້ານການບັງຄັບໃຫ້ເກີດການປ້ອງກັນມາດຕະການຕ້ານການຖອກນ້ໍາ. ,The European Union opposes the force of protection against the anti-watering measures. 
10,A fulsome eulogy was delivered by the sly counsel.,elogy ທີ່ບໍ່ສົມບູນໄດ້ຖືກປົດປ່ອຍໂດຍຄໍາແນະນໍາຂອງ SLY. ,Annology is not completely delivered by the instructions sly. 
11,The gig-economy agency decided to garnish the refunds!,ອົງການຂອງເສດຖະກິດ Gig- ໄດ້ຕັດສິນໃຈແຕ່ງເງິນຄືນ! ,GIG-economic agency decided to make money back! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,ສະມາຊິກຂອງການເຄື່ອນໄຫວປະຕິວັດປະຕິວັດຕໍ່ຕ້ານການປະຕິເສດໄດ້ໂຄ່ນລົ້ມເພື່ອນຮ່ວມງານໃນອໍານາດ! ,A member of the revolutionary revolutionary movement against the rejection to overthrow their colleagues! 
13,The traitors disappointingly decided to fight with the colonialists.,ຜູ້ທໍລະຍົດທີ່ໄດ້ຮັບການຕັດສິນໃຈທີ່ຈະຕໍ່ສູ້ກັບອານານິຄົມ. ,The traitor that was decided to fight the colonies. 
