,sentence,Lithuanian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Karo verkimas teisingumui buvo visuomet - daug valdžios institucijų Chagrinui. ,War crying for justice was always a lot of public authorities for Chacrin. 
1,The regime's decision adumbrates the underlying agenda.,Režimas sprendimas adumbrates pagrindinę darbotvarkę. ,Mode solution for Adumbrates core agenda. 
2,The community was anxious over the passing of the much needed reforms.,"Bendrija nerimavo dėl to, kad artimiausioje reikalingų reformų. ",The Community was worried about the fact that the nearest necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"""Think Tank"" paskelbė dokumentą, kuriame apibūdinama jų atsiprašymą dėl mirties bausmės. ",Think Tank announced a document describing their apology for the death penalty. 
4,Aught was left of the petition's validity,Aught buvo paliktas peticijos galiojimui ,AUGHT was left in the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Prezidentas ragino savo ministrus užrakinti kaip pagrindinę opozicijos paramą savo ekonominiam planui. ,The President called for its ministers to lock as the main opposition support for its economic plan. 
6,The voters were chuffed to see the bill passed.,"Rinkėjai buvo suklaidinti, kad pamatytų įstatymo projektą. ",The voters were misled to see the bill. 
7,The lawyer's discursive narration swayed the jury.,Advokato diskurso pasakojimas sukėlė žiuri. ,The tale of the discourse of the lawyer was caused by the jury. 
8,he court enjoined the violence!,Audekamas teismas su smurtu! ,Auditless court with violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ES blokas prieštaravo galimam antidempingo priemonių įvedimui. ,The EU Block objected to the possible introduction of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,"""Fulsome Eulogy"" buvo pristatytas SLY advokatas. ",The Fulsome Eulogy was presented in a SLY attorney. 
11,The gig-economy agency decided to garnish the refunds!,"""Gig-Economic"" agentūra nusprendė garnuoti grąžinamąsias išmokas! ",The Gig-Economic agency has decided to garnish refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Anti-teokrato revoliucinio judėjimo nariai nukreipė į valdžią bendraamžius! ,The members of the anti-theocrate's revolutionary movement have directed the peers of power! 
13,The traitors disappointingly decided to fight with the colonialists.,Apsaugai nusprendė kovoti su kolonialistais. ,The protection decided to fight colonialists. 
