,sentence,Latvian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,"Karš raudāt par taisnīgumu bija vairāk - daudz, lai chagrin no iestādēm. ",War crying for justice was more - much to Chagrin from the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Režīma lēmums uzsver pamatā esošo darba kārtību. ,The decision of the regime emphasizes the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Kopiena bija noraizējusies par ļoti nepieciešamo reformu nodošanu. ,The Community was worried about the transfer of the very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Think tvertne publicēja papīru, kurā izklāstīta viņu atvainošanās par nāvessodu. ",The Think Tank published a paper outlining their apology for the death penalty. 
4,Aught was left of the petition's validity,Auzht tika atstāts no lūgumraksta derīguma ,Auzht was left out of the petition's validity 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Prezidente aicināja ministrus, lai sprādzētu kā galveno opozīcijas atbalstu viņa ekonomikas plānam, bija apmēram sprādze. ","The President invited ministers to bleed as the main opposition support to his economic plan, was about a buckle. "
6,The voters were chuffed to see the bill passed.,"Vēlētāji tika sajaukti, lai redzētu rēķinu. ",Voters were mixed to see the bill. 
7,The lawyer's discursive narration swayed the jury.,Advokāta diskursīvā stāstījums aizrauj žūriju. ,Lawyer's discursive narration fascinates the jury. 
8,The court enjoined the violence!,Tiesa aicināja vardarbību! ,The court called for violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ES bloks iebilda pret iespējamo antidempinga pasākumu noteikšanu. ,The EU block objected to the possible imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome Eulogy tika piegādāts ar viltīgu padomu. ,Fulsome Eulogy was delivered with cunning advice. 
11,The gig-economy agency decided to garnish the refunds!,Gig ekonomikas aģentūra nolēma izdomāt kompensācijas! ,GIG Economic Agency decided to figure out compensation! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Antiokrātiskās revolucionārās kustības locekļi sagrāva spēku vienaudžus! ,The members of the antiocratic revolutionary movement destroyed the power of peers! 
13,The traitors disappointingly decided to fight with the colonialists.,Traiters neapmierina nolēma cīnīties ar koloniālistiem. ,The traiter does not satisfy decided to fight the colonialists. 
