,sentence,Maori,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ko te pakanga nui o te pakanga i a ia katoa - he nui rawa atu ki te Chagrin o nga mana whakahaere. ,The great war of the war was at all - too much to Charge of the Power of Officers. 
1,The regime's decision adumbrates the underlying agenda.,Ko te whakatau a te kawanatanga he whakapiki i te kaupapa o raro. ,Government's decision is to increase the subject below. 
2,The community was anxious over the passing of the much needed reforms.,Kei te awangawanga te hapori i te paahitanga o nga whakahoutanga e hiahiatia ana. ,The community is concerned about the passage of desired updates. 
3,The think tank  published a paper outlining their apology of capital punishment.,Ko te whakaaro e whakaputaina ana e te tank tetahi pepa e whakaatu ana i o raatau whakaponotanga mo te whiu whiu. ,The idea that the tank produces a form that shows their apologies for the punishment. 
4,Aught was left of the petition's validity,Ko tetahi mea i mahue i te mana o te pitihana ,One thing left the power of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,I akiaki te Perehitini i ana minita ki ana Minita ki te Taha Awhina Matua mo tana mahere ohaoha. ,President urged his ministers to his ministers to the main help of his economic plan. 
6,The voters were chuffed to see the bill passed.,Ko nga kaipōti i huna kia kite i te pire kua paahitia. ,Voters were hidden to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Ko te korero a te roia a te roia ka huri te tiihi. ,The lawyer says that the cheese turns. 
8,he court enjoined the violence!,I korerotia e ia te whakawakanga! ,He told the judgment! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Ko te poraka o te EU i whakahe i tetahi ahuatanga o te inenga anti-maroke. ,The EU block condemned a situation of anti-dry measure. 
10,A fulsome eulogy was delivered by the sly counsel.,Ko te Eulogy eulogy i tukuna e te tohutohu tohutohu. ,The EUGY EUCHACK has released instructions. 
11,The gig-economy agency decided to garnish the refunds!,I whakatau te tari Gig-ohanga ki te whakapaipai i nga moni whakahoki! ,The Gig-economical office decided to decorate the restore money! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Ko nga mema o te kaupapa noho-a-iwi-a-iwi ka huri i nga hoa i te kaha! ,Members of the Tribal Public Program change the partners! 
13,The traitors disappointingly decided to fight with the colonialists.,He tino pouri nga kaiwhakataetae ki te whawhai me nga koroni. ,The competitors are very dark to fight with colonies. 
