,sentence,Macedonian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Воениот плач за правда беше многу повеќе - многу на шагринот на властите. ,The military crying for justice was much more - much of the clinge of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Одлуката на режимот ја опфаќа основната агенда. ,The regime's decision covers the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Заедницата беше вознемирена поради донесувањето на многу потребните реформи. ,The community was upset over the adoption of much needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Тинк-тенк објави хартија во кој се извинува нивното извинување на смртната казна. ,Think tank published a paper in which their apology is sorry for the death penalty. 
4,Aught was left of the petition's validity,Отиде од валидноста на петицијата ,Went from the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Претседателот ги поттикна своите министри за да ја завршат како клучна поддршка за опозицијата за неговиот економски план за да се зафати. ,The President prompted his ministers to complete her as a key support for the opposition for his economic plan to engage. 
6,The voters were chuffed to see the bill passed.,Гласачите беа издигнати за да ја видат законот. ,Voters were raised to see the law. 
7,The lawyer's discursive narration swayed the jury.,Дискурзивната нарација на адвокатот го замагли жирито. ,The discursive narration of the lawyer blurred the jury. 
8,The court enjoined the violence!,Судот го оневозможи насилството! ,The court has disabled violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Блокот на ЕУ се спротивстави на евентуално наметнување на анти-дампинг мерки. ,The EU bloc has opposed possible imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome Eulogy беше испорачана од страна на Slyware. ,Fulsome eulogy was delivered by Slyware. 
11,The gig-economy agency decided to garnish the refunds!,Агенцијата за економија на свирката одлучи да ги организира надоместоците! ,The whistle agency decided to organize fees! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Членовите на анти-теосторачкото револуционерно движење ги соборија врсниците на власт! ,Members of the anti-theological revolutionary movement broke peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,На предавниците разочарувачки одлучија да се борат со колонијалистите. ,The traitors disappointingly decided to fight colonialists. 
