,sentence,Malayalam,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,നീതിയുടെ യുദ്ധവിളി എല്ലാം അവസാനിച്ചു - അധികാരികളുടെ ചാഗ്രിനിലേക്ക്. ,And all the cry of righteous cry is over - into the Chaagrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,ഭരണകൂടത്തിന്റെ തീരുമാനം അന്തർലീനമായ അജണ്ടയെ നിർത്തുന്നു. ,The decision of the state stops the inherent agenda. 
2,The community was anxious over the passing of the much needed reforms.,ആവശ്യമായ പരിഷ്കാരങ്ങൾ കടന്നുപോകുന്നതിൽ കമ്മ്യൂണിറ്റി ഉത്കണ്ഠയുണ്ടായിരുന്നു. ,There was a community anxiety in passing the required reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,വധശിക്ഷയുടെ ക്ഷമാപണത്തെ മറികടക്കുന്ന ഒരു പ്രസിദ്ധീകരിച്ച തിങ്ക് ടാങ്ക്. ,A published Think Tank to overcome the apology of the execution. 
4,Aught was left of the petition's validity,അവധിക്കാലത്തിന്റെ സാധുതയിൽ നിന്ന് ഒരു ശേഷിപ്പായിരുന്നു ,Was a remnant from the validity of the holiday 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,തന്റെ സാമ്പത്തിക പദ്ധതിയുടെ പ്രധാന എതിർപ്പ് പിന്തുണയായി രാഷ്ട്രപതി തന്റെ മന്ത്രിമാരെ ബക്കിൾ ചെയ്യാൻ ഉദ്ബോധിപ്പിച്ചു. ,The President urged his ministers to be built by the main opposition of his economic project. 
6,The voters were chuffed to see the bill passed.,ബിൽ പാസാക്കിയത് കാണാൻ വോട്ടർമാരെ പരിഹസിച്ചു. ,The voters ried to see the bill was passed. 
7,The lawyer's discursive narration swayed the jury.,അഭിഭാഷകന്റെ വ്യവഹാര വിവരണം ജൂറിയെ സ്വാധീനിച്ചു. ,The contribution of the lawyer's litigation impacted the jury. 
8,The court enjoined the violence!,കോടതി അക്രമത്തെ കൽപിച്ചു! ,Court commanded violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ആന്റി ഡമ്പിംഗ് നടപടികൾ ആന്റിമാവ് അടിച്ചേൽപ്പിക്കുന്നതിനെ ഈ യൂറോപ്യൻ യൂണിയൻ ബ്ലോക്ക് എതിർത്തു. ,This European Union Block has opposed the antimac man impinging antimawn. 
10,A fulsome eulogy was delivered by the sly counsel.,സ്ലൈഡ് കൗൺസൽ വഴി ഒരു ഫാർഗോൺ പ്രസവിച്ചു. ,A Fargone gave birth via slide counsel. 
11,The gig-economy agency decided to garnish the refunds!,റീഫണ്ടുകൾ അലങ്കരിക്കാൻ ഗിഗ്-ഇക്കോണമി ഏജൻസി തീരുമാനിച്ചു! ,Gig-econemy agency decided to decorate refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,വിരുദ്ധ വിപ്ലവ പ്രസ്ഥാനത്തിലെ അംഗങ്ങൾ അധികാരത്തിൽ സമപ്രായക്കാരെ അട്ടിമറിച്ചു! ,The members of the anti-revolutionary movement have blocked the peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,കൊളോണിയലിസ്റ്റുകളുമായി യുദ്ധം ചെയ്യാൻ രാജ്യദ്രോഹികൾ നിരാശാജനകമായി തീരുമാനിച്ചു. ,The traitor decided to fight with colonialists. 
