,sentence,Marathi,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,न्यायदंडासाठी युद्ध सर्व संपले - प्राधिकरणांच्या chagrin करण्यासाठी. ,All the ends for the judgment ended - to the chamrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,शासनाचे निर्णय मूलभूत अजेंडावर अडथळा आणतो. ,Government's decision interrupts the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,आवश्यक सुधारणेच्या पार्श्वभूमीवर समुदाय उत्सुक होता. ,The community was curious on the backdrop of the necessary improvement. 
3,The think tank  published a paper outlining their apology of capital punishment.,थिंक टाकीने कॅपिटल शिक्षेच्या क्षमतेचे वर्णन करणारा एक कागद प्रकाशित केला. ,The Think Tank published a paper that describes the capacity of the Capital punishment. 
4,Aught was left of the petition's validity,Aught याचिका च्या वैधता च्या बाकी होते ,Was left of the validity of aught petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,राष्ट्रपतींनी आपल्या मंत्र्यांना आपल्या मंत्र्यांना बळी मिळवून दिले की त्याच्या आर्थिक योजनेसाठी मुख्य विरोधी पाठिंबा आहे. ,The President gave his ministers victim to his ministers that the main opponent support for its financial plan. 
6,The voters were chuffed to see the bill passed.,बिल पास पाहण्यासाठी मतदारांना चकित करण्यात आले. ,Voters were amazed to see the bill pass. 
7,The lawyer's discursive narration swayed the jury.,वकील च्या डिस्फर्सिव्ह कथन जूरी swayed. ,Swayed the lawyer's densive statement jury. 
8,he court enjoined the violence!,त्याने हिंसाचार केला! ,He made violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ईयू ब्लॉकला विरोधी-डंपिंग उपायांच्या शेवटच्या प्रवृत्तीचा विरोध केला. ,The EU block opposed the last tendency of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,सशक्त सल्ल्याद्वारे एक भरपूर प्रशंसा केली गेली. ,A lot has been appreciated by a strong advice. 
11,The gig-economy agency decided to garnish the refunds!,गी-इकॉनॉमी एजन्सीने परतावा सुगंध करण्याचा निर्णय घेतला! ,The Gee-Economy Agency decided to scent returns! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,विरोधी विरोधी क्रांतिकारक चळवळीचे सदस्य सत्तेत सहकार्य करतात! ,Members of anti-revolutionary movement cooperates in power! 
13,The traitors disappointingly decided to fight with the colonialists.,वसंत ऋतु निराशाजनक लोकांशी लढण्याचा निर्णय घेतला. ,Spring decided to fight against disappointing people. 
