,sentence,Malay,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Perang menangis untuk keadilan adalah lebih - banyak kepada kekejian pihak berkuasa. ,The war cried for justice is much more to the abomination of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Keputusan rejim itu mengagumi agenda asas. ,The regime's decision admired the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Masyarakat itu cemas mengenai lulus pembaharuan yang sangat diperlukan. ,The community is anxious about passing the indispensable renewal. 
3,The think tank  published a paper outlining their apology of capital punishment.,The Think Tank menerbitkan sebuah kertas yang menggariskan permintaan maaf mereka terhadap hukuman mati. ,The Think Tank published a paper that outlined their apologies against the death penalty. 
4,Aught was left of the petition's validity,Aught ditinggalkan kesahihan petisyen ,Aught abandoned the validity of petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Presiden menasihati menteri-menterinya untuk menggabungkan sebagai sokongan pembangkang utama untuk pelan ekonominya akan menjadi gesper. ,The President advised his ministers to incorporate as the support of the main opposition for his economic plan would be buckle. 
6,The voters were chuffed to see the bill passed.,Pengundi telah mengejek untuk melihat rang undang-undang itu berlalu. ,The voters have mocked to see the bill passing. 
7,The lawyer's discursive narration swayed the jury.,Narasi Discursive Peguam menggerakkan juri. ,Narasi Discursive Lawyers move the jury. 
8,The court enjoined the violence!,Mahkamah memerintahkan keganasan! ,The court ordered violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blok EU menentang pengenaan langkah-langkah anti-lambakan. ,The EU block opposes the imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Eulogy fulsome disampaikan oleh peguam yang licik. ,Eulogy Fulsome was delivered by a cunning lawyer. 
11,The gig-economy agency decided to garnish the refunds!,Agensi Gig-Ekonomi memutuskan untuk menghiasi bayaran balik! ,Gig-economic agency decides to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Ahli-ahli Pergerakan Revolusi Anti-Teokratik menggulingkan rakan-rakan yang berkuasa! ,Members of the anti-theocratic revolutionary movement overthrew the powerful friends! 
13,The traitors disappointingly decided to fight with the colonialists.,Para pengkhianat yang mengecewakan memutuskan untuk bertarung dengan penjajah. ,The disappointing traitors decided to fight with the colonialists. 
