,sentence,Maltese,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Il-Cry Gwerra għall-Ġustizzja kien kollu - ħafna għall-Chagrin tal-awtoritajiet. ,The war for justice was all - many for the Chagrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Id-deċiżjoni tar-reġim tiżdied l-aġenda sottostanti. ,The decision of the regime increased the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Il-komunità kienet anzjuża fuq il-mogħdija tar-riformi tant meħtieġa. ,The community was anxious on the path of reforms needed. 
3,The think tank  published a paper outlining their apology of capital punishment.,It-tank tal-ħsieb ippubblika dokument li jiddeskrivi l-apoloġija tal-piena kapitali. ,The think tank published a document describing the apology of capital punishment. 
4,Aught was left of the petition's validity,Aught tħalla mill-validità tal-petizzjoni ,Aught was left from the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Il-President wera l-ministri tiegħu biex bokkla bħala appoġġ ewlieni għall-oppożizzjoni għall-pjan ekonomiku tiegħu kien waslu biex bokkla. ,The President showed his ministers to buckle as a key support for the opposition to his economic plan would have come to buckle. 
6,The voters were chuffed to see the bill passed.,Il-votanti kienu chuffed biex tara l-abbozz għadda. ,Voters were chuffed to see the draft passed. 
7,The lawyer's discursive narration swayed the jury.,Ir-rakkont diskursiv tal-avukat influwenzat il-ġurija. ,The diskursive narration of the lawyer influenced the jury. 
8,he court enjoined the violence!,Il-Qorti rnexxielha l-vjolenza! ,The Court managed to violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Il-blokka tal-UE oppona impożizzjoni eventwali ta 'miżuri anti-dumping. ,The EU block opposed possible imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Eulogy Fulsome ġie kkunsinnat mill-avukat sly. ,Eulogy Fulsome has been delivered by Sly lawyer. 
11,The gig-economy agency decided to garnish the refunds!,L-Aġenzija tal-Gig-Economy iddeċidiet li tirranġa r-rifużjonijiet! ,The Gig-Economy Agency decided to arrange refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Membri tal-moviment rivoluzzjonarju anti-teokratiku waqqa 'l-sħabhom fil-poter! ,Members of the revolutionary anti-theocratic movement overthrow their peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Il-tradituri ddeċidew diżappuntati li jiġġieldu mal-kolonjalisti. ,The traitors decided disappointed to fight with colonialists. 
