,sentence,Burmese,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,တရားမျှတမှုအတွက်တရားမျှတမှုအတွက်စစ်ပွဲများအားလုံးမှာအာဏာပိုင်များ၏စိတ်ရှုပ်စရာများစွာရှိသည်။ ,All wars in justice for justice have a lot of confusion by the authorities. 
1,The regime's decision adumbrates the underlying agenda.,စစ်အစိုးရ၏ဆုံးဖြတ်ချက်သည်နောက်ခံအစီအစဉ်ကိုကြေငြာသည်။ ,The junta's decision announced the background plan. 
2,The community was anxious over the passing of the much needed reforms.,ရပ်ရွာလူထုသည်လိုအပ်သောပြုပြင်ပြောင်းလဲမှုများစွာ၏ဖြတ်သန်းမှုကိုကျော်လွှားရန်စိုးရိမ်ခဲ့သည်။ ,Community worried about overcoming the passing of a large number of reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,အဆိုပါစဉ်းစားတွေးခေါ်အဖွဲ့ကသူတို့၏အရင်းအနှီးပြစ်ဒဏ်၏တောင်းပန်သည့်စာရွက်ကိုထုတ်ဝေသည်။ ,The thinking team publishes the apology of their capital penalty. 
4,Aught was left of the petition's validity,Aught သည်အသနားခံစာ၏တရားဝင်မှုကိုကျန်ရစ်ခဲ့သည် ,Aught was left validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,သမ္မတကသူ၏စီးပွားရေးအစီအစဉ်ကိုအဓိကအတိုက်အခံများအတွက်အဓိကအတိုက်အခံများအထောက်အပံ့များကိုထိထိရောက်ရောက်ခိုင်းခြင်းအဖြစ်သွန်သင်သည်သမ္မတကတိုက်တွန်းခဲ့သည်။ ,The president has urged his business program to effectively forced the major opposition support for key opposition. 
6,The voters were chuffed to see the bill passed.,မဲဆန္ဒရှင်များသည်ဥပဒေကြမ်းကိုဖြတ်ကျော်ရန်ဆန္ဒရှိခဲ့ကြသည်။ ,Voters were willing to cross the bill. 
7,The lawyer's discursive narration swayed the jury.,ရှေ့နေရဲ့ discursive ဇာတ်ကြောင်းကဂျူရီယန်ကိုယစ်မူးသွားတယ်။ ,The lawyer's discursive narrative was drunk with Jury. 
8,he court enjoined the violence!,သူကအကြမ်းဖက်မှုကိုဥပဒေပြဌာန်းပါ။ ,He enacts violence. 
9,The EU block opposed an eventual imposition of anti-dumping measures.,အီးယူအနေဖြင့်အငြင်းပွားမှုသည်စွန့်ပစ်ပစ္စည်းများကိုဆန့်ကျင်သောအရာတစ်ခုမှာဆန့်ကျင်သည်။ ,The EU is opposed to one thing that disputes against waste. 
10,A fulsome eulogy was delivered by the sly counsel.,အတုအယောင်တစ် ဦး ကိုလိမ်လည်လှည့်ဖြားသောအကြံဥာဏ်များဖြင့်ပို့ဆောင်ခဲ့သည်။ ,Was sent with deceptive advice to a false. 
11,The gig-economy agency decided to garnish the refunds!,Gig-Poligic Aday သည်ပြန်အမ်းငွေကိုထုတ်ဖော်ပြောဆိုရန်ဆုံးဖြတ်ခဲ့သည်။ ,Gig-Polic ADAY decided to reveal the refund. 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,သီအိုကရက်တစ်တော်လှန်ရေးလှုပ်ရှားမှုအဖွဲ့ဝင်များသည်ရွယ်တူချင်းများကိုအားဖြည့်ဆည်းပေးသည်။ ,Members of theocratic Revolution of Revolutionary Contemporary rely on peers. 
13,The traitors disappointingly decided to fight with the colonialists.,စိတ်ပျက်စရာကောင်းလောက်အောင်ကိုလိုနီခေစ်များနှင့်တိုက်ခိုက်ရန်သစ္စာဖောက်သူများကဆုံးဖြတ်ခဲ့သည်။ ,Decided by traitors to fight against colonial colonies. 
