,sentence,Nepali,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,न्यायको लागि युद्धको कराउँदै सबै भन्दा बढ्यो - अधिकारीहरूको चाउनमा धेरै। ,The war shouting for justice - a lot in the overseers. 
1,The regime's decision adumbrates the underlying agenda.,शासनका निर्णयले अन्तर्निहित एजेन्डालाई जनाउँछ। ,The decision of the regime refers to the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,सबै आवश्यक सुधारको पास भएकोमा समुदायलाई चिन्तित भएको थियो। ,The community was worried about all the required improvements. 
3,The think tank  published a paper outlining their apology of capital punishment.,सोच्ने ट्या tank ्कले कागजलाई प्रकाशित गर्यो कि राजधानी दण्डको माफी जग। ,Thinking tank published the paper that capitalism's apologies of the capital. 
4,Aught was left of the petition's validity,यातना भनेको याचिकाको वैधताको बाँकी थियो ,Torture was the rest of the validity of petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,राष्ट्रपतिले आफ्ना मन्त्रीहरूलाई आफ्नो आर्थिक योजनाको लागि प्रमुख विपक्षी सहयोगको लागि आग्रह गरे। ,The President urged his ministers for the chief opposition assistance for its financial plan. 
6,The voters were chuffed to see the bill passed.,बिल पास गर्न मतदाता चुकूलित थिए। ,The voters were passionate to pass the bill. 
7,The lawyer's discursive narration swayed the jury.,वकिलको बधाई कथाले जूरीको भूमिका खेल्यो। ,The lawyer's greeting story played the role of the pair. 
8,The court enjoined the violence!,अदालतले हिंसाको आदेश राखे! ,The court ordered the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU ब्लकले एन्टी-डम्पिंग उपायहरूको अन्तिम संपर्शकरणको विरोध गर्यो। ,The EU block opposed the final tificent of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,पूर्ण खानाको sull सल्लाह द्वारा वितरित थियो। ,Was distributed by the sull of complete food. 
11,The gig-economy agency decided to garnish the refunds!,गिग-अर्थव्यवस्था एजेन्सीले फिर्तीलाई बलियो बनाउने निर्णय गरे! ,Gig-economy decided to strengthen the return to the return! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,एन्टी-ईश्वरतान्त्रिक क्रान्तिकारी आन्दोलनको सदस्यहरू शक्तिमा साथीहरूले उन्मात्मामाथि ओभरता गरे! ,Members of the Anti-Theological Revolutionary movement abolished friends over the world in power! 
13,The traitors disappointingly decided to fight with the colonialists.,यातनाहीनहरूले निराशाजनक रूपमा उपनिवेशहरूसँग लड्ने निर्णय गरे। ,Defensively decided to fight the colonially for colonials. 
