,sentence,Dutch,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,De oorlogskreet voor gerechtigheid was overal - veel voor het verdriet van de autoriteiten. ,The war child for justice was everywhere - much for the sadness of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,De beslissing van het regime beschrijft de onderliggende agenda. ,The decision of the regime describes the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,De gemeenschap was bezorgd over het passeren van de broodnodige hervormingen. ,The community was concerned about passing the much needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,De Think Tank publiceerde een paper waarin hun verontschuldiging van de doodstraf schetst. ,The Think Tank published a paper in which their apology sketches out of death. 
4,Aught was left of the petition's validity,Was een geldigheid van de petitie ,Was a validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,De president sportte zijn ministers aan om te zakken als belangrijke oppositieondersteuning voor zijn economische plan stond op het punt om te gesp. ,The president sports his ministers to pock up as an important opposition support for his economic plan was about to buckle. 
6,The voters were chuffed to see the bill passed.,De kiezers werden gechufferd om te zien dat de rekening is geslaagd. ,The voters were menched to see that the bill has succeeded. 
7,The lawyer's discursive narration swayed the jury.,De discursieve vertelling van de advocaat zwaaide de jury. ,The discursive story of the lawyer waved the jury. 
8,The court enjoined the violence!,Het Hof heeft het geweld ingeleverd! ,The court has returned the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Het EU-blok verzet zich tegen een eventuele instelling van antidumpingmaatregelen. ,The EU block opposes a possible institution of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Een fulsome eulogy werd geleverd door de sluwe raad. ,A Fulsome Eulogy was supplied by the cunning council. 
11,The gig-economy agency decided to garnish the refunds!,Het bureau van de Gig-Economy heeft besloten de restituties te garneren! ,The Bureau of the Gig Economy has decided to garnish the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Leden van de anti-theocratische revolutionaire beweging omverbreiden de leeftijdsgenoten in de macht! ,Members of the anti-theocratic revolutionary movement revolve the peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,De verraders besloten om te vechten met de kolonialisten. ,The traitors decided to fight with the colonialists. 
