,sentence,Norwegian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Krigen gråte for rettferdighet var over - mye til myndighetens chagrin. ,The war cry for justice was over - much to the authority's Chagrin. 
1,The regime's decision adumbrates the underlying agenda.,Regimets beslutning adummerer den underliggende agendaen. ,The regime's decision also admits the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Samfunnet var engstelig over passering av de nødvendige reformene. ,The community was anxious over the passage of the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Tenk-tanken publiserte et papir som beskriver deres unnskyldning av dødsstraff. ,Thinking tank published a paper that describes their apology of the death penalty. 
4,Aught was left of the petition's validity,Aught var igjen av petisjonens gyldighet ,Aught was left by the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Presidenten formidlet sin ministre for å spenne opp som nøkkelopposisjonsstøtte for sin økonomiske plan var i ferd med å spenne. ,The president communicated its ministers to buckle up as key opposition support for its financial plan was about to buckle. 
6,The voters were chuffed to see the bill passed.,Velgerne var chuffed å se regningen passert. ,The voters were chuffed to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Advokatens diskursive fortelling svevet juryen. ,The lawyer's discursive story fogged the jury. 
8,The court enjoined the violence!,Retten enjoined volden! ,The court enjoined violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU-blokken motsatte seg en eventuell pålegg av anti-dumping. ,The EU block opposed a possible imposition of anti-dumping. 
10,A fulsome eulogy was delivered by the sly counsel.,En fulsom eulogy ble levert av det slående rådene. ,A fulistic eulogy was provided by the striking advice. 
11,The gig-economy agency decided to garnish the refunds!,Gig-økonomi byrået bestemte seg for å garnere refusjonene! ,Gig economy agency decided to garnish the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Medlemmer av den anti-teokratiske revolusjonære bevegelsen omstyrt jevnaldrende i kraft! ,Members of the anti-theocratic revolutionary movement overthrow peers in effect! 
13,The traitors disappointingly decided to fight with the colonialists.,Traitors skuffende besluttet å kjempe med kolonialistene. ,Traitors disappointingly decided to fight with the colonialists. 
