,sentence,Nyanja_Chichewa,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Nkhondo ikufuula kuti chilungamo chonse chatha - zambiri kwa chagrin of the Atsogoleri. ,The battle is shouting that all justice is over - more for the Chaggin of the leaders. 
1,The regime's decision adumbrates the underlying agenda.,Chisankho cha Rimeme Awakhumudwitsa Agenda. ,Rieme elections will hurt them. 
2,The community was anxious over the passing of the much needed reforms.,Anthuwo anali ndi nkhawa pakudutsa kusintha kwa zinthu zofunika kwambiri. ,The people were worried about changing the necessary matters. 
3,The think tank  published a paper outlining their apology of capital punishment.,Maganizidwe omwe akuganiza adasindikiza pepala kufotokozera kupepesa kwawo kwa chilango chachikulu. ,The thoughts that decide have printed the paper to describe their apologies for the major punishment. 
4,Aught was left of the petition's validity,Zopangidwa zidasiyidwa ndi zovomerezeka za Pettition ,The products were left with PETTION standard 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Purezidenti analimbikitsa alaliki ake kuti ayendetse zithandizo zazikulu za dongosolo lake la zachuma unakonza. ,President encouraged his evangelists to drive out major services in his economic system. 
6,The voters were chuffed to see the bill passed.,Ovota adachotsedwa kuti awone ngongoleyo. ,Votes were removed to see the debt. 
7,The lawyer's discursive narration swayed the jury.,Malamulo a Wolemba Wosunga Malamulo amatenga oweruza. ,The rules of the rules take judges. 
8,The court enjoined the violence!,Khotilo lidalowa ziwawazi! ,The court looked into the enemy! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU Clock idatsutsa zomwe pamakhala ponseponse. ,EU CLOCK THAT ARE SERVICE THAT ARE INVOLVED. 
10,A fulsome eulogy was delivered by the sly counsel.,Wotulutsa mokwanira anatumizidwa ndi upangiri wa ulu. ,A full-consignment was sent and eup advice. 
11,The gig-economy agency decided to garnish the refunds!,Gig-Churcamy Crancy adaganiza zokongoletsa kubweza! ,Gig-churcamy crancy decided to decorate the payment! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Mamembala a anti-autocric Equotery Roublery anapha anzawo mphamvu! ,Anti-Autocric Equotrate members killed the power of the power! 
13,The traitors disappointingly decided to fight with the colonialists.,Ochitako adaganiza zolimbana ndi atsamunda. ,Purpostal decided to fight against the colonies. 
