,sentence,Oriya,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,ନ୍ୟାୟ ପାଇଁ କ୍ରନ୍ଦନ ସବୁ କର୍ତ୍ତୃପକ୍ଷଙ୍କ ଚାଗ୍ରିନ୍ ପାଇଁ ବହୁତ - ଅଧିକ | ,Cries for justice all the authority of authority - more 
1,The regime's decision adumbrates the underlying agenda.,ଶାସନର ନିଷ୍ପତ୍ତିଗୁଡ଼ିକ ଅନ୍ତର୍ନିହିତ ଏଜେଣ୍ଡାଙ୍କୁ ସ୍ଥାନାନ୍ତରିତ କରେ | ,The decisions of the rule moves intrinsic agenda. 
2,The community was anxious over the passing of the much needed reforms.,ସମ୍ପ୍ରଦାୟଗୁଡିକ ବହୁ ଆବଶ୍ୟକୀୟ ସଂସ୍କାରର ପାସ୍ ଉପରେ ଚିନ୍ତିତ ଥିଲେ | ,The communities were concerned on the passage of many required reformed. 
3,The think tank  published a paper outlining their apology of capital punishment.,ଭାବନ୍ତୁ ଟ୍ୟାଙ୍କ୍ ଏକ କାଗଜ ପ୍ରକାଶିତ ଏକ କାଗଜ ପ୍ରକାଶିତ ଏକ କାଗଜକୁ ରାଜଧାନୀ ଦଣ୍ଡର କ୍ଷମା ପ୍ରାର୍ଥନା କରିଛି | ,Think tank tank a published a paper published a piece of paper published a piece of paper. 
4,Aught was left of the petition's validity,ନିଯୁକ୍ତ ବ valid ଧତାଠାରୁ କିଛି ବାକି ରହିଲା | ,Something left from the validation of the designated. 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,ତାଙ୍କର ଅର୍ଥନୀତି ଯୋଜନା ପାଇଁ ରାଷ୍ଟ୍ରପତିଙ୍କୁ ଏହି ମାସିକତା ସମର୍ଥନ ବୋଲି ବେକଲ୍ କରିବାକୁ ଯାଉଥିବା ରାଷ୍ଟ୍ରପତିଙ୍କୁ ଉତ୍ସାହିତ କରିଥିଲେ। ,His econom plan encouraged the president to becked that this monthlyness is support. 
6,The voters were chuffed to see the bill passed.,ଭୋଟରମାନେ ବିଲ୍ ପାସ୍ କରିବାକୁ ଭଲ ପାଉଥିଲେ | ,Voters loved the bill to pass 
7,The lawyer's discursive narration swayed the jury.,ଓକିଲଙ୍କ ଅସମ୍ପୂର୍ଣ୍ଣ ବର୍ଣ୍ଣନା ଖଣ୍ଡପୀଠକୁ ଘୁଞ୍ଚାଇଲା | ,Ockler's incomplete description moved the jury 
8,The court enjoined the violence!,କୋର୍ଟ ହିଂସା ଉପଭୋଗ କରିଥିଲେ! ,Court enjoyed violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ଇଉ ବ୍ଲକ୍ ଆଣ୍ଟି ଡମ୍ପିଂ ପଦକ୍ଷେପଗୁଡ଼ିକର ଏକ ଅନ୍ତିମ ପରିସରକୁ ବିରୋଧ କଲା | ,The Eu Block opposite a final range of the anti dumps 
10,A fulsome eulogy was delivered by the sly counsel.,ଏକ ପୁଷିଆ ଉପଦେଶଗୁଡ଼ିକ ଅତି ଉପଦେଶ ଦ୍ୱାରା ବିତରଣ କରାଯାଇଥିଲା | ,A pussian previsions were delivered by very admonishment 
11,The gig-economy agency decided to garnish the refunds!,ଜିଗ୍-ଅର୍ଥନୀତି ଏଜେନ୍ସି ଫେରସ୍ତକୁ ଗାର୍ନ କରିବାକୁ ସ୍ଥିର କଲା! ,The zig-economy decided to gircut refunders return! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,ଆଣ୍ଟି-ଉଇକ୍ରାଟିକ୍ ବ Relovolution ପ୍ଳବିକ ଗତିର ସଦସ୍ୟମାନେ ପାୱାରରେ ସାଥୀମାନଙ୍କୁ ପରାସ୍ତ କରିଛନ୍ତି! ,The members of anti-socratic ravel moving mobility has defeated mates in power! 
13,The traitors disappointingly decided to fight with the colonialists.,ଦେଶୀମାନେ ଉପନିବେଶବାଦୀଙ୍କ ସହିତ ଯୁଦ୍ଧ କରିବାକୁ ନିରାଶାଜନକ ଭାବରେ ନିରାଶାଜନକ ଭାବରେ ନିଷ୍ପତ୍ତି ନେଇଥିଲେ। ,Natively decides frustratingly disappointing to fight with a colonist. 
