,sentence,Polish,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Wojny Cry o sprawiedliwość była wszędzie - wiele do chagrin władz. ,Cry war for justice was everywhere - a lot to Chagrin authorities. 
1,The regime's decision adumbrates the underlying agenda.,Decyzja reżimu utrata obrad bazowy. ,DECISION OF THE REGIM OF THE BASE OF BASE. 
2,The community was anxious over the passing of the much needed reforms.,Wspólnota była niespokojna nad przechodzącą bardzo potrzebnych reform. ,The community was restless over the passing of very needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,The Think Tank opublikował papier przedstawiający ich przeprosiny kary śmierci. ,The Think Tank has published a paper showing their apologies of the death penalty. 
4,Aught was left of the petition's validity,Aught pozostawiono z ważności petycji ,Aughing was for the past of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Przewodniczący napomniał swoich ministrów, aby zapamiętać jako kluczowe wsparcie opozycyjne dla jego planu gospodarczego. ",The chairman removed his ministers to remember as key opposition support for his economic plan. 
6,The voters were chuffed to see the bill passed.,"Wyborcy byli chufczy, aby zobaczyć, że rachunek minął. ",Voters were the carcass to see that the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Diskurująca narracja prawnika kołysała jury. ,Discussing the narrative of lawyer swayed the jury. 
8,The court enjoined the violence!,Sąd nakazał przemocy! ,The court ordered violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blok UE sprzeciwił się ostatecznym nałożeniu środków antydumpingowych. ,The EU block opposed the final imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Sly Eulogy została dostarczona przez radcę Sly. ,Sly Eulogy was delivered by Sly Counsel. 
11,The gig-economy agency decided to garnish the refunds!,Agencja Gig-Gospodarka postanowiła dekorować refundację! ,The Gig-Economy agency decided to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Członkowie anty-teokratycznego ruchu rewolucyjnego obalili rówieśników w mocy! ,Members of anti -ocratic revolutionary movement overthrown their peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Zdrajce rozczarowująco postanowili walczyć z kolonimitami. ,Trailers disappointedly decided to fight colonimits. 
