,sentence,Pashto,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,د عدالت لپاره جګړې جګړې د چارواکو کنجرین ته ټول ډیر څه و. ,The war-war-fighting war was all over the authorities conjunction. 
1,The regime's decision adumbrates the underlying agenda.,د رژیم پریکړه د اصلي اجنډا سره ملامت کوي. ,The diet's decision blames with the original agenda. 
2,The community was anxious over the passing of the much needed reforms.,ټولنه د ډیرو اصلاحاتو له تیریدو څخه اندیښمن وه. ,The community was worried about the passage of more reform. 
3,The think tank  published a paper outlining their apology of capital punishment.,د فکر ټانک یو مقاله خپره کړې چې د اعدام سزا د دوی بښنه روښانه کوي. ,The thinking tank has published an article that clashes to be the sentence of the execution. 
4,Aught was left of the petition's validity,د عریضې د اعتبار وړ ,Validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,ولسمشر د خپلو اقتصادي پلان لپاره د مخالفت د مهم اپوزیسیون ملاتړ په ب that و چې د هغه اقتصادي پلان لپاره د اپوزیسیون ملاتړ په ب through ه ګو .ه وه چې د بیکل په اړه یې د بیکل په اړه ده. ,"The president's important opposition opponents for their economic plan was available on the support for his economic plan, which is about the bakel about the bacle. "
6,The voters were chuffed to see the bill passed.,رایې ورکوونکي د بل د پای لیدو لپاره چغلي وو. ,Voters worked to see the end of another. 
7,The lawyer's discursive narration swayed the jury.,د وکیل ګناه بیان جیوری په لاره واچاو. ,The agency sin's statement putting the jury. 
8,The court enjoined the violence!,محکمې له تاوتریخوالي نه دی کړی! ,The courts did not violent! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,د اروپايي اتحادیې بلاک د ډمپینګ ضد اقداماتو له وخت سره مخالفت کوي. ,EU Block opposite anti-dumping measures of the dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,یو بشپړ پوهول د SELE مشورې لخوا تحویل شوی و. ,A complete understanding was delivered by sele advice. 
11,The gig-economy agency decided to garnish the refunds!,د ګیج اقتصاد ادارې پریکړه وکړه چې بیرته ستنیدنه وکړي! ,Gauge Economy Administration decided to return the return! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,دکاوراتي انقلابي غورځنګ غړي د واکمنۍ ضد غړو پوکارانو ته په واک کې ضایع کوي! ,The members of the Koroi Revolutionary Movement The members of the authorities are wasting to authorize counter-government bulks! 
13,The traitors disappointingly decided to fight with the colonialists.,د استعمارګرو سره د جګړې لپاره بدنامینو پریکړه وکړه. ,Decided discarding discredit to fight with colon. 
