,sentence,Portuguese,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,O grito de guerra pela justiça estava todo - muito para o desgosto das autoridades. ,The cry of war for justice was all - much for the disgust of authorities. 
1,The regime's decision adumbrates the underlying agenda.,A decisão do regime adumbrece a agenda subjacente. ,The decision of the regimen adumbrates the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,A comunidade estava ansiosa sobre a aprovação das reformas necessárias. ,The community was anxious about approving the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,O think tank publicou um artigo delineando seu pedido de desculpas de pena de capital. ,The Think Tank published an article outlining its apology for capital penalty. 
4,Aught was left of the petition's validity,Aurght foi deixado da validade da petição ,Aurght was left of the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,O presidente exortou seus ministros a se acariciar como apoio chave da oposição para seu plano econômico estava prestes a fivela. ,The president exhorted his ministers to caress as key support of opposition to his economic plan was about to buckle. 
6,The voters were chuffed to see the bill passed.,Os eleitores foram enchidos para ver a conta passada. ,The voters were stuffed to see the passed account. 
7,The lawyer's discursive narration swayed the jury.,A narração discursiva do advogado balançou o júri. ,The discursive narration of the lawyer swayed the jury. 
8,The court enjoined the violence!,O tribunal enjoou a violência! ,The court has naked violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,O bloco da UE se opôs por uma eventual imposição de medidas anti-dumping. ,The EU block opposed an eventual imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Um elogio fulome foi entregue pelo conselho malicioso. ,A Fulome compliment was delivered by the malicious council. 
11,The gig-economy agency decided to garnish the refunds!,A Agência Gig-Economy decidiu enfeitar os reembolsos! ,The Gig-Economy agency decided to decorate repayments! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Os membros do movimento revolucionário anti-teocrático derrubaram os pares no poder! ,Members of the anti-theocratic revolutionary movement knocked on pairs in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Os traidores decidiram lutar com os colonialistas. ,The traitors decided to fight the colonialists. 
