,sentence,Romanian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Plângerea de război pentru justiție a fost peste tot - mult la chagina autorităților. ,The war complaint for justice was everywhere - a lot of the authorities' chagin. 
1,The regime's decision adumbrates the underlying agenda.,Decizia regimului emite agenda de bază. ,The decision of the regime issues the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Comunitatea era nerăbdătoare de trecerea reformelor necesare. ,The community was impatient with the passage of necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Think-tank a publicat o lucrare care-și evidențiază scuzele pedepsei capitale. ,Think-Tank published a work that highlights the excuses of the capital punishment. 
4,Aught was left of the petition's validity,Aught a rămas din valabilitatea petiției ,Aight remained from the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Președintele și-a îndemnat miniștrii să se îndoaie ca sprijinul cheie al opoziției pentru planul său economic a fost pe cataramă. ,The President urged his ministers to bend as the key support of the opposition for his economic plan was on the buckle. 
6,The voters were chuffed to see the bill passed.,Alegătorii au fost respinși pentru a vedea proiectul de lege. ,Voters were rejected to see the bill. 
7,The lawyer's discursive narration swayed the jury.,Narațiunea discursivă a avocatului a influențat juriul. ,The discursive narrative of the lawyer influenced the jury. 
8,he court enjoined the violence!,Curtea a impus violența! ,The Court imposed violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blocul UE sa opus unei eventuale impuneri de măsuri antidumping. ,The EU block opposed a possible taxation of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,O eulogie plină a fost trimisă de sfatul Sly. ,A full eulogy was sent by Sly advice. 
11,The gig-economy agency decided to garnish the refunds!,Agenția Gig-Economia a decis să obțină restituirile! ,Gig-Economy Agency decided to get refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Membrii mișcării revoluționare antisocratice au răsturnat colegii la putere! ,Members of the antisocratic revolutionary movement have overturned colleagues in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Taranții au decis dezamăgit să lupte cu colonialiștii. ,The peasants decided disappointed to fight colonialists. 
