,sentence,Russian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Военный крик для справедливости был очень настолько для общения властей. ,Military cry for justice was very so to communicate authorities. 
1,The regime's decision adumbrates the underlying agenda.,Решение режима Adumbraites базовая повестка дня. ,ADUBRAITES RESOLUTION SOLUTION AGENEFE. 
2,The community was anxious over the passing of the much needed reforms.,Сообщество беспокоилось о прохождении столь необходимых реформ. ,The community worried about the passage of such necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Думающий танк опубликовал газету, изгнание их извинения капитала наказания. ","Thinking tank published a newspaper, the expulsion of their apologies of the capital of punishment. "
4,Aught was left of the petition's validity,Aught был оставлен в действительности петиции ,Aught was left in reality petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Президент призвал своих министров простираться, так как ключевая поддержка оппозиции за его экономический план собирался застичь. ","The president called on his ministers to stretch, since the key support for the opposition for his economic plan was going to caustize. "
6,The voters were chuffed to see the bill passed.,"Избиратели помнили, чтобы посмотреть счет. ",Voters remembered to see the bill. 
7,The lawyer's discursive narration swayed the jury.,Дискурсивное повествование адвоката покачивалось жюри. ,The discursive narration of the lawyer was swaying the jury. 
8,The court enjoined the violence!,Суд присоединился к насилию! ,The court joined violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Блок ЕС выступил против возможного введения антидемпинговых мер. ,The EU unit opposed the possible introduction of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Выполненная эулига была доставлена потихонькому адвокату. ,Elegant Euliga was delivered to a slowly lawyer. 
11,The gig-economy agency decided to garnish the refunds!,Агентство GIG-экономики решило гарнируйте возмещение! ,The Gig-Economy Agency decided to garnish compensation! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Члены антиосторожного революционного движения свергли сверстников власти! ,Members of the anti-primary revolutionary movement overthrew the peers of power! 
13,The traitors disappointingly decided to fight with the colonialists.,Предатели разочаровывающе решили бороться с колонистами. ,Traitors disappointingly decided to fight colonists. 
