,sentence,Kinyarwanda,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Intambara iratakambira ubutabera yose yararangiye - cyane kuri nyakatsi w'abayobozi. ,Warmth is inviting all justice that has ended - so much on the weed of leaders. 
1,The regime's decision adumbrates the underlying agenda.,Icyemezo cy'ubutegetsi kigizwe na gahunda yishingiwe. ,The decision of the regime consists of a dependent program. 
2,The community was anxious over the passing of the much needed reforms.,Umuganda wari uhangayikishijwe no kunyura mu ivugurura rikenewe cyane. ,Umuganda who was worried about passing the necessary reform. 
3,The think tank  published a paper outlining their apology of capital punishment.,Igitekerezo cya Tank cyasohoye impapuro zerekana imbabazi zabo zo guhanwa igihano. ,The tank's thought has released the papers showing their punishment for punishment. 
4,Aught was left of the petition's validity,Awrigh yasigaye mubyemezo byemewe ,Awrigh left in accepted certificates 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Perezida yashishikarije abakozi be ngo babone inkunga y'ingenzi batavuga rumwe n'ubukungu bwe bari hafi kwidagadura. ,The president encouraged his staff to find important supports of his economic research. 
6,The voters were chuffed to see the bill passed.,Abatora bari kumwe kugirango barebe fagitire. ,Voters are together to see the invoice. 
7,The lawyer's discursive narration swayed the jury.,Amagambo yo kutavuga ntangarutso yakuye abacamanza. ,Words of non-statistic detecting judges. 
8,he court enjoined the violence!,Yakomeje kuba yarasabye urugomo! ,He continued to have asked for violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,FU guhagarika EU yarwanyije amaherezo itanga ingamba zo kurwanya. ,Fu Disable EU resisted finally provides anti-combat strategies. 
10,A fulsome eulogy was delivered by the sly counsel.,Ikigereranyo cyiza cyatanzwe ninama nziza. ,The best estimate has been submitted by a good meeting. 
11,The gig-economy agency decided to garnish the refunds!,Ikigo cya Gig-Ubukungu cyafashe icyemezo cyo gusubizwa! ,The Gig-economic Center decided to be answered! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Abagize umuryango w'impinduramatwara urwanya tewolitution ya gitewolojiya wahiritse urungano ku butegetsi! ,Members of the Tolitution Fighting Theologumy Theologum Succeed! 
13,The traitors disappointingly decided to fight with the colonialists.,Abahemu batewe bahitamo kurwana nabakoloni. ,Unfaithful traitors chooses to fight with the colonial. 
