,sentence,Slovak,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Vojna výkrik pre spravodlivosť bola všetka - veľa na Chagrin of orgánov. ,War shout for justice was all - a lot to Chagrin of organs. 
1,The regime's decision adumbrates the underlying agenda.,Rozhodnutie režimu oslobodzuje základný program. ,The regime decision frees the basic program. 
2,The community was anxious over the passing of the much needed reforms.,Spoločenstvo bolo znepokojené nad prechodom veľmi potrebných reforiem. ,The Community was concerned about the transition of very needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Think Tank publikoval dokument, ktorý načrtol ich ospravedlnenie trestu smrti. ",Think Tank published a document that sketched their apologies of death penalty. 
4,Aught was left of the petition's validity,AUGHT bol ponechaný platnosťou petície ,Augught was left to validity of petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Prezident nabádal svojich ministrov, aby sa vrátil, pretože kľúčovú podporu opozície pre jeho ekonomický plán sa chystal sponu. ",The President encouraged his ministers to return because the key support of the opposition for his economic plan was a clasp. 
6,The voters were chuffed to see the bill passed.,"Voliči boli chvapaní, aby videli účet. ",The voters were troubled to see an account. 
7,The lawyer's discursive narration swayed the jury.,Discurzívne rozprávanie advokáta vyvolal porotu. ,Discurrent narrative of the lawyer has triggered the jury. 
8,The court enjoined the violence!,Súd prvého stupňa nariadil násilie! ,The Court of First Instance ordered the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blok EÚ sa proti prípadnému uloženiu antidumpingových opatrení. ,EU block against any imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome Eulogy bola doručená slovestnou radou. ,Fulsome Eulogy was delivered to a verb board. 
11,The gig-economy agency decided to garnish the refunds!,Agentúra GIG-ENOPY sa rozhodla ozdobiť náhrady! ,Gig-enopy has decided to decorate compensation! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Členovia anti-teokratického revolučného pohybu zvrhli rovesníkov pri moci! ,Members of Anti-Teocratic Revolutionary Motion Trapped Peers at Power! 
13,The traitors disappointingly decided to fight with the colonialists.,Zostavujúci zradcov sa rozhodol bojovať s kolonialistami. ,The compilation of traitors decided to fight colonialists. 
