,sentence,Slovenian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Vojni krik za pravosodje je bil vse več kot Chagrin organov. ,The war scream for justice was becoming more than Chagrin organs. 
1,The regime's decision adumbrates the underlying agenda.,Odločba režima je oslabljena osnovna agenda. ,The decision of the regime is an impaired basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Skupnost je bila zaskrbljena zaradi prehoda zelo potrebnih reform. ,The Community was concerned about the transition of highly needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Think Tank je objavil dokument, ki opisuje svojo opravičilo smrtne kazni. ",Think Tank has published a document that describes his apology of the death penalty. 
4,Aught was left of the petition's validity,Aught je ostalo veljavnost peticije ,Aight remained the validity of petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Predsednik je spodbudil njegove ministre, da se spomnite kot ključna opozicijska podpora za njegov gospodarski načrt, ki se je prišla na zaponko. ",The President encouraged his ministers to remember as key opposition support for his economic plan that came to the buckle. 
6,The voters were chuffed to see the bill passed.,"Volivci so bili ovrnjeni, da bi videli, da je bil račun opravljen. ",The voters were scrapped to see that the account was done. 
7,The lawyer's discursive narration swayed the jury.,Diskurzivna pripoved odvetnika je zibala žirijo. ,The discursive narration of the lawyer rocked the jury. 
8,he court enjoined the violence!,Sodišče je navedlo nasilje! ,The court stated violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU je nasprotovala morebitnemu uvedbi protidampinških ukrepov. ,The EU opposed the possible imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome Eulologiy je bil dostavljen sly nasvet. ,FulSome Eulologiy was delivered by SLY advice. 
11,The gig-economy agency decided to garnish the refunds!,"Agencija za gospodarstvo GIG se je odločila, da okrasijo nadomestila! ",The Gig economy agency decided to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Člani anti-teokratskega revolucionarnega gibanja so znižali vrstnike na oblasti! ,Members of the Anti-Theocratic Revolutionary Movement reduced peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,"Traitorje so se razočarale, da se bodo borili z kolonialisti. ",Treators disappointed that they will fight colonialists. 
