,sentence,Samoan,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,O le upu taua mo le faamasinoga na sili atu uma - tele i le mataga o le pulega. ,The word important for the court has been all over - much in the disorder of the Authority. 
1,The regime's decision adumbrates the underlying agenda.,O le faaiuga a le Dememe Admodat o le vaega o le autu. ,The Deal Admodat is the section of the topic. 
2,The community was anxious over the passing of the much needed reforms.,Na malosi le tagata o le nuu i luga o le pasia o faatulagaga sili ona manaomia. ,The members of the people might fully over passing the best criteria. 
3,The think tank  published a paper outlining their apology of capital punishment.,O le manatu na lomia e le tane tane se pepa e ofi mai ai o latou faatoesega o le laumua. ,The intimacy the man published a ticket that included their apostles. 
4,Aught was left of the petition's validity,E tatau ona totoe o le talosaga a le talosaga ,The request of the request shall be left 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Sa talaʻi le Peresitene o au faifeau, ina ia taulimaina le tuinaʻiga o le tulaga sili ona lagolagoina mo lana fuafuaga tau tupe tau tupe e tatau ona faʻapaʻiaina. ",The President of my ministers preached to meet the combinence as the most supportive supportive of his financial financial financial balance. 
6,The voters were chuffed to see the bill passed.,Na mataala tagata palota e vaai le Tulafono Tau Faaofi Na pasia le Tulafono Tau Faaofi. ,Election was a while to see the b Bill approved the Bill. 
7,The lawyer's discursive narration swayed the jury.,O le loia a le loia na lafoina ai le au faamasinoina le au faamasino. ,The lawyer of the legal army was the judgment of the judges. 
8,he court enjoined the violence!,Na faatonu mai ia le Faamasino o le Fami! ,The tumin of the Semarched out! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,O le EU BUCKE FAʻAFIAFIʻIGA SE FAʻAFITAULI O LE FAʻAFETAI O LE ANTI-DUMPATIONE fua. ,The EU Buck Happy a problem is the Anti-Dumbone. 
10,A fulsome eulogy was delivered by the sly counsel.,O le mea moni na faia e le taua o le taua o le fautuaga. ,The fact that the importance of the proposal is. 
11,The gig-economy agency decided to garnish the refunds!,Na filifili le NIG-Tamaoaiga-tamaoaiga e teuteuina ai le toe foi mai! ,Nig-economy decided to decorate the return! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Sui o le Anti-Tomioratic Revisonentary Promplory Provertrewretrewere le tupulaga i le mana! ,Members of the anti-tomioratic reviothentary proplade ProcessreWrewrere the generation! 
13,The traitors disappointingly decided to fight with the colonialists.,Sa le fiafia tagata faataʻitaʻi e taua ma kolonia. ,Practice didn't like the importance and Geooo. 
