,sentence,Shona,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Hondo inochemera kuti kururamisira kwakapfuura - zvakanyanya kune chakavanzika chevakuru. ,The war moshes that justice passed on - more than a secret of the elders. 
1,The regime's decision adumbrates the underlying agenda.,Chisarudzo chehutongi chinobuditsa zvirongwa zvepasi. ,The decision of the rulership is a source of low schemes. 
2,The community was anxious over the passing of the much needed reforms.,Nharaunda yacho yainetseka pamusoro pekupfuura kwekuchinja kwakawanda kunodiwa. ,The area was concerned about the passing of many changes needed. 
3,The think tank  published a paper outlining their apology of capital punishment.,Iyo fungo tangi yakaburitswa pepa rinoridza ruregerero rwavo rwechirango. ,The fucking tank is released for the paper that is their redemption of discipline. 
4,Aught was left of the petition's validity,ANOTSI YAKABUDA YEMAHARA YEMAHARA YEMAHARA ,A smoke came out of free free free 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Mutungamiri wenyika akakurudzira vashumiri vake kuti vabudise sokutsigira kwakakosha kwehurongwa hwake hwehupfumi hwaive pedyo nechirwere. ,The president urged his servants to produce the precious support of his economic plan near the disease. 
6,The voters were chuffed to see the bill passed.,Vavhoti vakachekwa kuti vaone kuti Bill. ,Voters were cut to see that Bill. 
7,The lawyer's discursive narration swayed the jury.,Rondedzero yegweta iri yakadzvanywa. ,A list of the lawyer is sought. 
8,he court enjoined the violence!,Dare rakanakidzwa nemhirizhonga! ,The Court enjoyed riots! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Iyo EU kuvhiringidza kupikisa chiitiko chekupedzisira chemaitiro ekurasa-ekurasa. ,The EU confronher to hinder the final event of the discarding process. 
10,A fulsome eulogy was delivered by the sly counsel.,Mufemo uzere hwununurwa nezita rekuita. ,In a furrow is full of deliverance by name. 
11,The gig-economy agency decided to garnish the refunds!,Iyo gig-hupfumi hwebatanidzwa wakasarudza gagera mari yacho! ,The gig-economic economic choosing the money! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Nhengo dzeAnti-Sangano Revhizimusi Rekuratidzira rakakunda vezera revanhu vari musimba! ,The Antiti-Statement Government has conquered the people in power. 
13,The traitors disappointingly decided to fight with the colonialists.,Vatengesi vanogumbura vakasarudza kurwa nevatorwa. ,Hulfacturers choose to fight with foreigners. 
