,sentence,Albanian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Thirrja e luftës për drejtësi ishte e gjitha - shumë për zhgënjimin e autoriteteve. ,The call for justice was all - much about the frustration of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Vendimi i regjimit ndryshon axhendën themelore. ,The regime's decision varies the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Komuniteti ishte i shqetësuar për kalimin e reformave shumë të nevojshme. ,The community was concerned about passing the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Think Tank publikoi një letër që përshkruante faljen e tyre të dënimit me vdekje. ,Think Tank published a letter depicting their pardon of death penalty. 
4,Aught was left of the petition's validity,Aught kishte mbetur nga vlefshmëria e peticionit ,Aught was left of the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Presidenti nxiti ministrat e tij që të shtrëngonin si mbështetje kryesore të opozitës për planin e tij ekonomik ishte gati të shtrëngohej. ,The president urged his ministers to tighten as the main support of the opposition for his economic plan was about to constrain. 
6,The voters were chuffed to see the bill passed.,Votuesit u përplasën për të parë faturën e kaluar. ,Voters crashed to see the bill last. 
7,The lawyer's discursive narration swayed the jury.,Tregimi diskursor i avokatit lëkundi jurinë. ,The discourse story of the lawyer rocking the jury. 
8,he court enjoined the violence!,Ai gjykata e urdhëroi dhunën! ,That court ordered violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blloku i BE kundërshtoi një vendosje eventuale të masave antidumping. ,The EU block objected to an eventual placement of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Një eulogy i plotë u dorëzua nga këshilla e zymtë. ,A complete eulogy was delivered by gloomy tips. 
11,The gig-economy agency decided to garnish the refunds!,Agjencia e Gig-Ekonomisë vendosi të garnizojë rimbursimet! ,The GIG-Economics Agency decided to garrison refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Anëtarët e lëvizjes revolucionare anti -okratike përmbysën kolegët në pushtet! ,Members of the Revolutionary Anti-Regricity Movement overthrew the ruling colleagues! 
13,The traitors disappointingly decided to fight with the colonialists.,Tradhët vendosën zhgënjyese për të luftuar me kolonialistët. ,Traitors disappointed to fight with colonialists. 
